period,genre_brut,macro_genre,filename,title,author,n_words,output_path
1700-1710,Traductions grecques et latines,Traductions grecques et latines,modern_ant_remarques_sur_virgile_et_sur_homere_et_s.tei,,Pierre-Valentin Faydit (1644-1709),121836,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Traductions grecques et latines/modern_ant_remarques_sur_virgile_et_sur_homere_et_s.txt
1700-1710,Traductions grecques et latines,Traductions grecques et latines,modern_cicéron_pour_marcus_marcellus_oraison_35.tei,,Cicéron (0106-0043 av. J.-C.),8016,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Traductions grecques et latines/modern_cicéron_pour_marcus_marcellus_oraison_35.txt
1700-1710,Théologie,Théologie,modern_cphil-15.tei,,Jacques Bénigne Bossuet (1627-1704),75055,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Théologie/modern_cphil-15.txt
1700-1710,Philosophie,Philosophie,modern_cphil-150.tei,,Bernard de Fontenelle (1657-1757),9415,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Philosophie/modern_cphil-150.txt
1700-1710,Philosophie,Philosophie,modern_cphil-179.tei,,Bernard de Fontenelle (1657-1757),3453,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Philosophie/modern_cphil-179.txt
1700-1710,Correspondances,Belles-Lettres,modern_cphil-237.tei,,Bernard de Fontenelle (1657-1757),1409,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Belles-Lettres/modern_cphil-237.txt
1700-1710,Philosophie,Philosophie,modern_cphil-253.tei,,Bernard de Fontenelle (1657-1757),3711,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Philosophie/modern_cphil-253.txt
1700-1710,Belles-Lettres,Belles-Lettres,modern_ecco_0042601300.tei,,Jean Claude (1619-1687),30792,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Belles-Lettres/modern_ecco_0042601300.txt
1700-1710,Belles-Lettres,Belles-Lettres,modern_ecco_0051700700.tei,,author_10336,10438,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Belles-Lettres/modern_ecco_0051700700.txt
1700-1710,Belles-Lettres,Belles-Lettres,modern_ecco_0063700700.tei,,Bernard de Fontenelle (1657-1757),50410,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1700-1710/Belles-Lettres/modern_ecco_0063700700.txt
