word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802
aban,0.0041,0.0052,0.0073,0.0068,0.0051,0.0078,0.0054,0.0067,0.0035
abandon,0.0133,0.0063,0.0094,0.0102,0.0134,0.0210,0.0116,0.0116,0.0110
abandonna,0.0035,0.0057,0.0112,0.0074,0.0065,0.0058,0.0069,0.0057,0.0047
abandonne,0.0044,0.0054,0.0092,0.0065,0.0091,0.0091,0.0093,0.0084,0.0062
abandonner,0.0038,0.0042,0.0055,0.0070,0.0052,0.0054,0.0059,0.0050,0.0056
abandonnez,0.0049,0.0036,0.0070,0.0042,0.0055,0.0062,0.0082,0.0087,0.0054
abandonné,0.0044,0.0050,0.0069,0.0052,0.0047,0.0043,0.0051,0.0053,0.0050
abandonnée,0.0058,0.0052,0.0106,0.0072,0.0080,0.0074,0.0087,0.0072,0.0066
abattre,0.0072,0.0076,0.0078,0.0046,0.0050,0.0185,0.0099,0.0083,0.0065
abattu,0.0045,0.0053,0.0125,0.0069,0.0094,0.0170,0.0103,0.0105,0.0074
abbaye,0.0063,0.0059,0.0016,0.0019,0.0035,0.0051,0.0027,0.0031,0.0020
abbé,0.0045,0.0056,0.0029,0.0039,0.0046,0.0040,0.0046,0.0047,0.0036
abeilles,0.0038,0.0034,0.0032,0.0094,0.0018,0.0081,0.0087,0.0071,0.0019
abfence,0.0029,0.0074,0.0092,0.0068,0.0058,0.0054,0.0050,0.0067,0.0023
able,0.0026,0.0040,0.0040,0.0046,0.0070,0.0058,0.0087,0.0109,0.0079
aboli,0.0092,0.0057,0.0083,0.0057,0.0095,0.0065,0.0092,0.0096,0.0108
abolir,0.0062,0.0058,0.0093,0.0076,0.0087,0.0088,0.0117,0.0090,0.0120
abominable,0.0057,0.0066,0.0059,0.0076,0.0079,0.0132,0.0133,0.0111,0.0072
abon,0.0059,0.0043,0.0059,0.0053,0.0105,0.0149,0.0114,0.0117,0.0055
abondamment,0.0042,0.0037,0.0053,0.0049,0.0046,0.0074,0.0064,0.0055,0.0035
abondance,0.0020,0.0020,0.0018,0.0032,0.0025,0.0035,0.0023,0.0022,0.0018
abondant,0.0034,0.0033,0.0023,0.0029,0.0052,0.0068,0.0068,0.0064,0.0049
abondante,0.0031,0.0030,0.0032,0.0055,0.0047,0.0098,0.0061,0.0054,0.0043
abondantes,0.0096,0.0071,0.0068,0.0094,0.0119,0.0141,0.0093,0.0081,0.0043
abonde,0.0026,0.0019,0.0031,0.0036,0.0035,0.0043,0.0055,0.0055,0.0032
abord,0.0027,0.0035,0.0076,0.0060,0.0092,0.0079,0.0080,0.0080,0.0083
aborder,0.0028,0.0028,0.0041,0.0050,0.0026,0.0020,0.0032,0.0041,0.0026
about,0.0017,0.0037,0.0015,0.0011,0.0027,0.0035,0.0024,0.0020,0.0068
abraham,0.0016,0.0063,0.0057,0.0027,0.0042,0.0060,0.0057,0.0037,0.0032
abrégé,0.0035,0.0053,0.0098,0.0074,0.0111,0.0091,0.0090,0.0059,0.0064
absence,0.0026,0.0019,0.0021,0.0028,0.0020,0.0022,0.0023,0.0038,0.0034
absent,0.0021,0.0014,0.0038,0.0028,0.0028,0.0025,0.0037,0.0061,0.0036
absolu,0.0054,0.0043,0.0063,0.0056,0.0073,0.0068,0.0075,0.0053,0.0069
absolue,0.0103,0.0077,0.0115,0.0109,0.0160,0.0182,0.0136,0.0129,0.0138
absolument,0.0045,0.0051,0.0052,0.0054,0.0059,0.0077,0.0062,0.0065,0.0074
abus,0.0043,0.0034,0.0031,0.0030,0.0038,0.0046,0.0042,0.0045,0.0042
abuse,0.0040,0.0032,0.0070,0.0074,0.0117,0.0146,0.0153,0.0123,0.0112
abuser,0.0060,0.0029,0.0048,0.0069,0.0105,0.0109,0.0145,0.0114,0.0119
abusé,0.0074,0.0062,0.0089,0.0100,0.0141,0.0108,0.0157,0.0143,0.0121
abîme,0.0055,0.0031,0.0069,0.0048,0.0052,0.0064,0.0068,0.0047,0.0049
académie,0.0016,0.0032,0.0036,0.0044,0.0069,0.0073,0.0073,0.0047,0.0044
acc,0.0039,0.0074,0.0121,0.0028,0.0127,0.0063,0.0046,0.0078,0.0089
accabler,0.0045,0.0066,0.0154,0.0091,0.0096,0.0112,0.0150,0.0099,0.0086
accablé,0.0023,0.0024,0.0051,0.0041,0.0036,0.0037,0.0044,0.0052,0.0033
accepta,0.0049,0.0108,0.0130,0.0124,0.0062,0.0066,0.0076,0.0095,0.0056
accepte,0.0056,0.0033,0.0058,0.0054,0.0076,0.0066,0.0091,0.0089,0.0053
accepter,0.0049,0.0036,0.0056,0.0067,0.0058,0.0048,0.0047,0.0059,0.0047
