word,drift_global,drift_moyen
gêne,0.5802,0.0213
d'intérêt,0.4836,0.0166
tirés,0.4834,0.0214
ruement,0.4832,0.0237
quai,0.4764,0.0172
ressources,0.4718,0.0152
l'humanité,0.4666,0.0173
régie,0.4621,0.0177
l'habitude,0.4615,0.0167
fig,0.4580,0.0156
constamment,0.4575,0.0158
l'intérieur,0.4557,0.0153
ments,0.4494,0.0152
nan,0.4471,0.0243
perception,0.4461,0.0156
devenant,0.4449,0.0152
taux,0.4438,0.0188
dispo,0.4395,0.0186
économie,0.4366,0.0158
l'occupation,0.4355,0.0173
tice,0.4351,0.0120
reve,0.4348,0.0191
capi,0.4330,0.0166
mylord,0.4278,0.0239
sévérité,0.4277,0.0150
prefet,0.4275,0.0151
déli,0.4247,0.0205
tés,0.4238,0.0180
boileau,0.4228,0.0161
retrouve,0.4225,0.0138
influence,0.4224,0.0137
mage,0.4218,0.0189
foret,0.4217,0.0170
seconder,0.4207,0.0131
pans,0.4198,0.0180
forcée,0.4192,0.0139
événemens,0.4185,0.0128
zircon,0.4183,0.0203
tance,0.4182,0.0146
l'impossibilité,0.4180,0.0139
préfet,0.4154,0.0162
varie,0.4134,0.0127
rive,0.4108,0.0138
plaie,0.4104,0.0165
compo,0.4093,0.0146
séduire,0.4082,0.0142
préjugé,0.4077,0.0150
vantes,0.4065,0.0144
fonte,0.4051,0.0163
vernis,0.4048,0.0170
subir,0.4047,0.0131
pale,0.4029,0.0147
emp,0.4026,0.0182
nef,0.4026,0.0166
bassesse,0.4010,0.0138
superflu,0.4000,0.0161
préter,0.3999,0.0147
l'aide,0.3998,0.0114
l'emploi,0.3990,0.0138
borne,0.3983,0.0146
l'esclavage,0.3980,0.0159
îles,0.3979,0.0139
mem,0.3974,0.0159
redouter,0.3968,0.0150
tuiles,0.3963,0.0186
aris,0.3953,0.0152
l'appui,0.3939,0.0148
repré,0.3921,0.0151
douteux,0.3918,0.0133
prévoyance,0.3913,0.0158
soutien,0.3902,0.0142
étouffer,0.3897,0.0142
remplacer,0.3896,0.0130
han,0.3895,0.0205
bos,0.3883,0.0156
énormes,0.3877,0.0130
marqués,0.3877,0.0138
rappeler,0.3876,0.0160
calice,0.3871,0.0192
parvint,0.3853,0.0122
dépouiller,0.3853,0.0122
rappeller,0.3846,0.0109
révolutions,0.3832,0.0128
igne,0.3828,0.0144
du',0.3827,0.0191
désirer,0.3826,0.0156
l'instruction,0.3824,0.0144
seu,0.3817,0.0163
var,0.3815,0.0166
modérer,0.3812,0.0147
accoutumés,0.3804,0.0119
bayle,0.3804,0.0137
défiance,0.3803,0.0146
diriger,0.3799,0.0121
carriere,0.3795,0.0130
solidité,0.3795,0.0121
immense,0.3795,0.0113
différemment,0.3785,0.0139
protéger,0.3783,0.0130
ida,0.3778,0.0133
maintien,0.3769,0.0121
borner,0.3767,0.0139
préfence,0.3764,0.0154
l'h,0.3756,0.0149
marchande,0.3755,0.0148
fontes,0.3752,0.0160
vée,0.3750,0.0120
colle,0.3749,0.0144
bor,0.3747,0.0121
d'ac,0.3746,0.0200
l'intrigue,0.3746,0.0139
vau,0.3744,0.0145
forge,0.3744,0.0143
annonce,0.3739,0.0117
ruelle,0.3738,0.0167
excita,0.3735,0.0111
meu,0.3729,0.0131
suédois,0.3728,0.0172
étran,0.3723,0.0137
comn,0.3720,0.0130
réveiller,0.3717,0.0145
trans,0.3716,0.0153
déposer,0.3714,0.0128
insensé,0.3712,0.0160
poésie,0.3710,0.0128
tatien,0.3707,0.0157
exi,0.3702,0.0128
d'exciter,0.3701,0.0118
populo,0.3693,0.0140
s'enrichir,0.3690,0.0130
françoises,0.3689,0.0125
libertinage,0.3687,0.0138
vils,0.3686,0.0113
borné,0.3678,0.0123
cois,0.3676,0.0119
comr,0.3674,0.0133
condi,0.3671,0.0106
inquiétudes,0.3670,0.0111
plit,0.3670,0.0121
profondément,0.3669,0.0157
l'évidence,0.3668,0.0151
s'occuper,0.3664,0.0132
contin,0.3664,0.0147
rappelle,0.3659,0.0118
sim,0.3658,0.0149
venter,0.3658,0.0134
supprimer,0.3655,0.0129
dains,0.3652,0.0156
reconnoissances,0.3651,0.0171
tonner,0.3649,0.0139
dominer,0.3646,0.0128
blic,0.3637,0.0142
onde,0.3637,0.0107
turion,0.3636,0.0159
recon,0.3635,0.0125
'an,0.3628,0.0140
cré,0.3626,0.0144
tement,0.3622,0.0127
diffi,0.3618,0.0164
aifément,0.3617,0.0137
mépriser,0.3600,0.0131
regretter,0.3590,0.0138
opéra,0.3589,0.0128
l'attention,0.3588,0.0101
chargés,0.3587,0.0104
contagion,0.3587,0.0173
révolution,0.3586,0.0121
atta,0.3576,0.0120
destruction,0.3575,0.0123
éloi,0.3573,0.0151
époque,0.3572,0.0108
tiares,0.3562,0.0159
illusion,0.3561,0.0126
tée,0.3560,0.0118
flatterie,0.3560,0.0137
mant,0.3556,0.0136
posséder,0.3556,0.0126
régulier,0.3549,0.0127
plans,0.3545,0.0133
dissolution,0.3542,0.0163
roues,0.3541,0.0119
tera,0.3541,0.0118
nui,0.3540,0.0148
puissamment,0.3537,0.0148
absolue,0.3537,0.0129
préférence,0.3536,0.0099
préparation,0.3535,0.0121
dubois,0.3527,0.0203
s'ef,0.3521,0.0125
cons,0.3521,0.0170
conm,0.3519,0.0130
dut,0.3516,0.0103
conf,0.3516,0.0154
tation,0.3514,0.0146
milord,0.3512,0.0153
frivole,0.3511,0.0131
l'événement,0.3507,0.0135
perpétuel,0.3501,0.0137
passi,0.3500,0.0120
exigent,0.3500,0.0102
mnes,0.3497,0.0139
l'espoir,0.3496,0.0099
ronces,0.3491,0.0124
tremblement,0.3486,0.0110
inf,0.3480,0.0145
ache,0.3476,0.0116
filon,0.3476,0.0173
l'aveu,0.3476,0.0116
exempte,0.3475,0.0131
doc,0.3474,0.0110
moral,0.3470,0.0120
nement,0.3469,0.0125
dai,0.3466,0.0130
occupés,0.3464,0.0105
générosité,0.3462,0.0123
prospérité,0.3461,0.0121
indépendamment,0.3461,0.0121
condom,0.3460,0.0129
fours,0.3457,0.0176
pol,0.3454,0.0138
embrasse,0.3454,0.0114
hist,0.3453,0.0200
proprio,0.3450,0.0135
timidité,0.3450,0.0133
déformais,0.3449,0.0148
l'injustice,0.3449,0.0125
dureté,0.3449,0.0113
sant,0.3447,0.0167
discuter,0.3443,0.0117
calais,0.3442,0.0157
lorf,0.3438,0.0121
fons,0.3436,0.0135
lrs,0.3432,0.0124
devin,0.3430,0.0165
modèle,0.3429,0.0115
fauxbourg,0.3426,0.0138
dimi,0.3425,0.0131
épreuves,0.3422,0.0113
d'usage,0.3421,0.0114
l'élévation,0.3420,0.0147
clémence,0.3418,0.0132
écarter,0.3418,0.0120
difficultés,0.3415,0.0096
l'oisiveté,0.3415,0.0116
atten,0.3414,0.0105
direction,0.3413,0.0103
força,0.3408,0.0108
préférer,0.3405,0.0122
solidement,0.3401,0.0115
système,0.3400,0.0151
plie,0.3400,0.0124
dépen,0.3398,0.0118
échappé,0.3396,0.0102
nus,0.3396,0.0115
éclairée,0.3393,0.0106
l'ecole,0.3391,0.0128
méchanceté,0.3390,0.0138
liers,0.3387,0.0130
fac,0.3386,0.0108
deviendra,0.3386,0.0102
l'épreuve,0.3385,0.0130
construction,0.3385,0.0123
bour,0.3385,0.0137
bler,0.3385,0.0111
