word,modele,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,disponible
king,camembert,1700-1710,1770-1780,0.046198,0.953802,230,1429,4350,True
king,dalembert,1700-1710,1770-1780,0.114049,0.885951,230,1429,4350,True
gage,camembert,1760-1770,1780-1789,0.008658,0.991342,920,1701,5695,True
gage,dalembert,1760-1770,1780-1789,0.010913,0.989087,920,1701,5695,True
tâche,camembert,1710-1720,1789-1802,0.04402,0.95598,266,1275,5701,True
tâche,dalembert,1710-1720,1789-1802,0.066066,0.933934,266,1275,5701,True
ann,camembert,1740-1750,1789-1802,0.05702,0.94298,1201,689,5677,True
ann,dalembert,1740-1750,1789-1802,0.15715,0.84285,1201,689,5677,True
maine,camembert,1710-1720,1770-1780,0.145127,0.854873,1683,984,5677,True
maine,dalembert,1710-1720,1770-1780,0.061872,0.938128,1683,984,5677,True
roger,camembert,1740-1750,1789-1802,0.011611,0.988389,111,1237,5633,True
roger,dalembert,1740-1750,1789-1802,0.030094,0.969906,111,1237,5633,True
champ,camembert,1760-1770,1789-1802,0.015317,0.984683,5086,7211,5711,True
champ,dalembert,1760-1770,1789-1802,0.032976,0.967024,5086,7211,5711,True
dehors,camembert,1750-1760,1789-1802,0.01509,0.98491,2079,3871,5709,True
dehors,dalembert,1750-1760,1789-1802,0.020645,0.979355,2079,3871,5709,True
nouvelle,camembert,1740-1750,1770-1780,0.011116,0.988884,8209,17222,5719,True
nouvelle,dalembert,1740-1750,1770-1780,0.020798,0.979202,8209,17222,5719,True
toutefois,camembert,1720-1730,1780-1789,0.01288,0.98712,959,2560,5701,True
toutefois,dalembert,1720-1730,1780-1789,0.019233,0.980767,959,2560,5701,True
come,camembert,1740-1750,1780-1789,0.038783,0.961217,864,429,5670,True
come,dalembert,1740-1750,1780-1789,0.103887,0.896113,864,429,5670,True
sor,camembert,1700-1710,1720-1730,0.027501,0.972499,640,96,5678,True
sor,dalembert,1700-1710,1720-1730,0.06108,0.93892,640,96,5678,True
compagne,camembert,1720-1730,1740-1750,0.007354,0.992646,250,489,5686,True
compagne,dalembert,1720-1730,1740-1750,0.013608,0.986392,250,489,5686,True
veu,camembert,1720-1730,1789-1802,0.077657,0.922343,1135,691,5685,True
veu,dalembert,1720-1730,1789-1802,0.106519,0.893481,1135,691,5685,True
précédent,camembert,1730-1740,1789-1802,0.013594,0.986406,786,2261,5703,True
précédent,dalembert,1730-1740,1789-1802,0.031851,0.968149,786,2261,5703,True
sol,camembert,1730-1740,1780-1789,0.077916,0.922084,1304,1562,5688,True
sol,dalembert,1730-1740,1780-1789,0.221114,0.778886,1304,1562,5688,True
marc,camembert,1720-1730,1770-1780,0.073186,0.926814,7910,3558,5700,True
marc,dalembert,1720-1730,1770-1780,0.196792,0.803208,7910,3558,5700,True
