word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
king,1700-1710,1770-1780,1.021762,-0.021762,230,1429,4350,0.046198,0.953802,0.114049,0.885951
gage,1760-1770,1780-1789,1.010255,-0.010255,920,1701,5695,0.008658,0.991342,0.010913,0.989087
tâche,1710-1720,1789-1802,0.988592,0.011408,266,1275,5701,0.04402,0.95598,0.066066,0.933934
ann,1740-1750,1789-1802,0.982756,0.017244,1201,689,5677,0.05702,0.94298,0.15715,0.84285
maine,1710-1720,1770-1780,0.982653,0.017347,1683,984,5677,0.145127,0.854873,0.061872,0.938128
roger,1740-1750,1789-1802,0.98036,0.01964,111,1237,5633,0.011611,0.988389,0.030094,0.969906
champ,1760-1770,1789-1802,0.977218,0.022782,5086,7211,5711,0.015317,0.984683,0.032976,0.967024
dehors,1750-1760,1789-1802,0.976494,0.023506,2079,3871,5709,0.01509,0.98491,0.020645,0.979355
nouvelle,1740-1750,1770-1780,0.973559,0.026441,8209,17222,5719,0.011116,0.988884,0.020798,0.979202
toutefois,1720-1730,1780-1789,0.967848,0.032152,959,2560,5701,0.01288,0.98712,0.019233,0.980767
come,1740-1750,1780-1789,0.965537,0.034463,864,429,5670,0.038783,0.961217,0.103887,0.896113
sor,1700-1710,1720-1730,0.964801,0.035199,640,96,5678,0.027501,0.972499,0.06108,0.93892
compagne,1720-1730,1740-1750,0.964521,0.035479,250,489,5686,0.007354,0.992646,0.013608,0.986392
veu,1720-1730,1789-1802,0.962735,0.037265,1135,691,5685,0.077657,0.922343,0.106519,0.893481
précédent,1730-1740,1789-1802,0.961633,0.038367,786,2261,5703,0.013594,0.986406,0.031851,0.968149
sol,1730-1740,1780-1789,0.959874,0.040126,1304,1562,5688,0.077916,0.922084,0.221114,0.778886
marc,1720-1730,1770-1780,0.95702,0.04298,7910,3558,5700,0.073186,0.926814,0.196792,0.803208
tour,1700-1710,1720-1730,0.955951,0.044049,2916,4883,5718,0.009193,0.990807,0.018237,0.981763
plein,1730-1740,1740-1750,0.955712,0.044288,2774,2215,5716,0.009878,0.990122,0.020708,0.979292
thou,1780-1789,1789-1802,0.952909,0.047091,2315,749,5549,0.054254,0.945746,0.175192,0.824808
versailles,1710-1720,1750-1760,0.949282,0.050718,866,867,5695,0.019384,0.980616,0.034505,0.965495
fig,1700-1710,1770-1780,0.947563,0.052437,281,7646,5628,0.064702,0.935298,0.172983,0.827017
dépôt,1710-1720,1789-1802,0.946502,0.053498,258,2374,5689,0.014376,0.985624,0.027803,0.972197
san,1710-1720,1730-1740,0.94121,0.05879,137,4012,5685,0.012461,0.987539,0.038015,0.961985
iij,1730-1740,1789-1802,0.940236,0.059764,1045,1261,5680,0.015581,0.984419,0.074097,0.925903
réserve,1720-1730,1750-1760,0.940224,0.059776,239,970,5693,0.011946,0.988054,0.023618,0.976382
avance,1730-1740,1750-1760,0.940076,0.059924,685,856,5715,0.008953,0.991047,0.015032,0.984968
mme,1700-1710,1750-1760,0.938731,0.061269,3086,920,5683,0.093726,0.906274,0.110751,0.889249
sus,1720-1730,1760-1770,0.937292,0.062708,281,642,5697,0.011811,0.988189,0.025538,0.974462
aujourd,1730-1740,1770-1780,0.93493,0.06507,152,939,5716,0.032158,0.967842,0.031319,0.968681
poli,1780-1789,1789-1802,0.934663,0.065337,1363,1331,5697,0.004578,0.995422,0.013097,0.986903
hors,1740-1750,1750-1760,0.932729,0.067271,4099,4617,5716,0.00932,0.99068,0.018388,0.981612
date,1710-1720,1760-1770,0.931719,0.068281,592,2122,5712,0.011069,0.988931,0.029234,0.970766
done,1730-1740,1770-1780,0.92956,0.07044,687,759,5666,0.03544,0.96456,0.055826,0.944174
nota,1700-1710,1750-1760,0.929305,0.070695,217,837,5678,0.021938,0.978062,0.066792,0.933208
salut,1780-1789,1789-1802,0.926026,0.073974,1418,3954,5700,0.040309,0.959691,0.037687,0.962313
