word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
veau,1720-1730,1789-1802,1.004967,-0.004967,4686,1418,5692,0.131567,0.868433,0.085478,0.914522
vivant,1750-1760,1760-1770,0.97374,0.02626,1464,1840,5712,0.006252,0.993748,0.014039,0.985961
propos,1740-1750,1789-1802,0.936395,0.063605,4733,7478,5718,0.032507,0.967493,0.033145,0.966855
exprès,1710-1720,1789-1802,0.906367,0.093633,771,1203,5696,0.011302,0.988698,0.01739,0.98261
garde,1760-1770,1789-1802,0.887376,0.112624,7550,14711,5717,0.023052,0.976948,0.035312,0.964688
passant,1750-1760,1780-1789,0.8783,0.1217,1016,2511,5710,0.012813,0.987187,0.019588,0.980412
ajoutez,1720-1730,1740-1750,0.877497,0.122503,270,340,5691,0.007474,0.992526,0.018411,0.981589
oubli,1700-1710,1720-1730,0.872633,0.127367,78,105,5702,0.00697,0.99303,0.019046,0.980954
vent,1730-1740,1750-1760,0.86839,0.13161,2993,3932,5715,0.009259,0.990741,0.018934,0.981066
généraux,1740-1750,1789-1802,0.854494,0.145506,3176,11426,5712,0.026871,0.973129,0.028796,0.971204
pouvoir,1710-1720,1770-1780,0.84985,0.15015,5488,24279,5718,0.012438,0.987562,0.020655,0.979345
trompe,1710-1720,1740-1750,0.846517,0.153483,752,1065,5709,0.013334,0.986666,0.03152,0.96848
prudent,1760-1770,1789-1802,0.836466,0.163534,620,1099,5699,0.010435,0.989565,0.012765,0.987235
revenant,1710-1720,1730-1740,0.832928,0.167072,226,653,5694,0.067575,0.932425,0.069354,0.930646
communes,1760-1770,1789-1802,0.832164,0.167836,2240,5192,5709,0.032871,0.967129,0.053287,0.946713
étrangères,1780-1789,1789-1802,0.82766,0.17234,2047,3333,5708,0.017253,0.982747,0.017056,0.982944
entiere,1740-1750,1789-1802,0.826072,0.173928,1293,1584,5694,0.022916,0.977084,0.016364,0.983636
vivement,1750-1760,1770-1780,0.824974,0.175026,1507,3023,5710,0.011527,0.988473,0.021917,0.978083
contenu,1710-1720,1789-1802,0.819274,0.180726,1091,876,5697,0.05396,0.94604,0.072711,0.927289
nouveaux,1710-1720,1720-1730,0.816353,0.183647,2218,2070,5718,0.009763,0.990237,0.017168,0.982832
quartier,1710-1720,1720-1730,0.810072,0.189928,1539,2090,5700,0.011904,0.988096,0.016022,0.983978
favori,1750-1760,1789-1802,0.805661,0.194339,631,910,5691,0.006321,0.993679,0.010463,0.989537
composer,1730-1740,1750-1760,0.800793,0.199207,503,683,5704,0.009507,0.990493,0.014334,0.985666
logement,1710-1720,1730-1740,0.800584,0.199416,289,314,5675,0.007402,0.992598,0.014355,0.985645
cadet,1740-1750,1760-1770,0.792144,0.207856,168,1292,5667,0.051273,0.948727,0.071734,0.928266
cour,1700-1710,1710-1720,0.791448,0.208552,5404,10201,5717,0.024128,0.975872,0.026315,0.973685
tournois,1720-1730,1780-1789,0.790492,0.209508,970,1825,5674,0.018712,0.981288,0.048448,0.951552
nullement,1710-1720,1780-1789,0.790302,0.209698,555,1864,5707,0.011307,0.988693,0.016303,0.983697
course,1760-1770,1780-1789,0.787316,0.212684,790,1536,5702,0.007024,0.992976,0.013541,0.986459
pareillement,1750-1760,1770-1780,0.786799,0.213201,1517,2393,5687,0.023151,0.976849,0.024378,0.975622
convertir,1710-1720,1750-1760,0.786247,0.213753,212,352,5685,0.010779,0.989221,0.019031,0.980969
consul,1730-1740,1740-1750,0.785755,0.214245,407,485,5671,0.01215,0.98785,0.021188,0.978812
quelconques,1730-1740,1760-1770,0.78428,0.21572,295,585,5641,0.027177,0.972823,0.044116,0.955884
romaine,1710-1720,1730-1740,0.782727,0.217273,551,3180,5706,0.020216,0.979784,0.039055,0.960945
https,1780-1789,1789-1802,0.781996,0.218004,733,1554,27,0.033557,0.966443,0.074401,0.925599
allant,1730-1740,1760-1770,0.781979,0.218021,598,3778,5700,0.042558,0.957442,0.069965,0.930035
témoin,1710-1720,1770-1780,0.780918,0.219082,758,2692,5711,0.021548,0.978452,0.066448,0.933552
oeuvre,1760-1770,1789-1802,0.780824,0.219176,1085,1126,5700,0.022758,0.977242,0.028385,0.971615
icelle,1730-1740,1789-1802,0.780726,0.219274,320,453,5656,0.031471,0.968529,0.068077,0.931923
argument,1730-1740,1789-1802,0.780443,0.219557,558,640,5695,0.014566,0.985434,0.022994,0.977006
pareil,1730-1740,1750-1760,0.780299,0.219701,1794,2576,5717,0.013727,0.986273,0.021073,0.978927
logis,1720-1730,1789-1802,0.779941,0.220059,717,1009,5680,0.023866,0.976134,0.03371,0.96629
repos,1720-1730,1740-1750,0.779802,0.220198,1495,3224,5716,0.012754,0.987246,0.017513,0.982487
divin,1720-1730,1730-1740,0.777743,0.222257,907,916,5705,0.01184,0.98816,0.027519,0.972481
miens,1710-1720,1780-1789,0.777336,0.222664,259,1130,5684,0.023001,0.976999,0.027047,0.972953
toit,1760-1770,1770-1780,0.776794,0.223206,3603,4921,5703,0.003154,0.996846,0.012358,0.987642
