word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
veau,1720-1730,1789-1802,1.004967,-0.004967,4686,1418,5692
vivant,1750-1760,1760-1770,0.97374,0.02626,1464,1840,5712
propos,1740-1750,1789-1802,0.936395,0.063605,4733,7478,5718
exprès,1710-1720,1789-1802,0.906367,0.093633,771,1203,5696
garde,1760-1770,1789-1802,0.887376,0.112624,7550,14711,5717
passant,1750-1760,1780-1789,0.8783,0.1217,1016,2511,5710
ajoutez,1720-1730,1740-1750,0.877497,0.122503,270,340,5691
oubli,1700-1710,1720-1730,0.872633,0.127367,78,105,5702
vent,1730-1740,1750-1760,0.86839,0.13161,2993,3932,5715
généraux,1740-1750,1789-1802,0.854494,0.145506,3176,11426,5712
pouvoir,1710-1720,1770-1780,0.84985,0.15015,5488,24279,5718
trompe,1710-1720,1740-1750,0.846517,0.153483,752,1065,5709
prudent,1760-1770,1789-1802,0.836466,0.163534,620,1099,5699
revenant,1710-1720,1730-1740,0.832928,0.167072,226,653,5694
communes,1760-1770,1789-1802,0.832164,0.167836,2240,5192,5709
étrangères,1780-1789,1789-1802,0.82766,0.17234,2047,3333,5708
entiere,1740-1750,1789-1802,0.826072,0.173928,1293,1584,5694
vivement,1750-1760,1770-1780,0.824974,0.175026,1507,3023,5710
contenu,1710-1720,1789-1802,0.819274,0.180726,1091,876,5697
nouveaux,1710-1720,1720-1730,0.816353,0.183647,2218,2070,5718
quartier,1710-1720,1720-1730,0.810072,0.189928,1539,2090,5700
favori,1750-1760,1789-1802,0.805661,0.194339,631,910,5691
composer,1730-1740,1750-1760,0.800793,0.199207,503,683,5704
logement,1710-1720,1730-1740,0.800584,0.199416,289,314,5675
cadet,1740-1750,1760-1770,0.792144,0.207856,168,1292,5667
cour,1700-1710,1710-1720,0.791448,0.208552,5404,10201,5717
tournois,1720-1730,1780-1789,0.790492,0.209508,970,1825,5674
nullement,1710-1720,1780-1789,0.790302,0.209698,555,1864,5707
course,1760-1770,1780-1789,0.787316,0.212684,790,1536,5702
pareillement,1750-1760,1770-1780,0.786799,0.213201,1517,2393,5687
convertir,1710-1720,1750-1760,0.786247,0.213753,212,352,5685
consul,1730-1740,1740-1750,0.785755,0.214245,407,485,5671
quelconques,1730-1740,1760-1770,0.78428,0.21572,295,585,5641
romaine,1710-1720,1730-1740,0.782727,0.217273,551,3180,5706
https,1780-1789,1789-1802,0.781996,0.218004,733,1554,27
allant,1730-1740,1760-1770,0.781979,0.218021,598,3778,5700
témoin,1710-1720,1770-1780,0.780918,0.219082,758,2692,5711
oeuvre,1760-1770,1789-1802,0.780824,0.219176,1085,1126,5700
icelle,1730-1740,1789-1802,0.780726,0.219274,320,453,5656
argument,1730-1740,1789-1802,0.780443,0.219557,558,640,5695
pareil,1730-1740,1750-1760,0.780299,0.219701,1794,2576,5717
logis,1720-1730,1789-1802,0.779941,0.220059,717,1009,5680
repos,1720-1730,1740-1750,0.779802,0.220198,1495,3224,5716
divin,1720-1730,1730-1740,0.777743,0.222257,907,916,5705
miens,1710-1720,1780-1789,0.777336,0.222664,259,1130,5684
toit,1760-1770,1770-1780,0.776794,0.223206,3603,4921,5703
livre,1710-1720,1760-1770,0.776108,0.223892,6655,16042,5718
nier,1710-1720,1720-1730,0.773556,0.226444,536,647,5706
hautes,1720-1730,1789-1802,0.772598,0.227402,841,1548,5698
voulons,1700-1710,1710-1720,0.771498,0.228502,547,2228,5706
vons,1750-1760,1780-1789,0.771268,0.228732,443,785,5672
prévôt,1710-1720,1770-1780,0.770804,0.229196,711,655,5672
table,1740-1750,1770-1780,0.769692,0.230308,4003,8649,5720
pratique,1710-1720,1760-1770,0.76862,0.23138,1292,5008,5708
atteint,1770-1780,1780-1789,0.766312,0.233688,1095,1315,5700
innocent,1700-1710,1720-1730,0.765484,0.234516,380,395,5700
mariages,1750-1760,1770-1780,0.764895,0.235105,514,1539,5689
verront,1710-1720,1740-1750,0.762965,0.237035,632,515,5692
découverte,1730-1740,1740-1750,0.75984,0.24016,779,1523,5705
sacrifices,1760-1770,1789-1802,0.75692,0.24308,785,2412,5701
chef,1710-1720,1789-1802,0.756823,0.243177,1974,11201,5713
arrivant,1740-1750,1770-1780,0.754403,0.245597,911,707,5688
canons,1710-1720,1740-1750,0.750717,0.249283,325,998,5672
mauvaises,1750-1760,1760-1770,0.750548,0.249452,1270,1958,5704
veille,1730-1740,1740-1750,0.750143,0.249857,976,1115,5708
gardes,1700-1710,1710-1720,0.749766,0.250234,1141,2008,5704
juré,1700-1710,1710-1720,0.749608,0.250392,169,399,5686
chrétienne,1730-1740,1750-1760,0.747174,0.252826,892,1395,5688
marqué,1750-1760,1770-1780,0.746749,0.253251,1316,2156,5713
venise,1750-1760,1760-1770,0.745718,0.254282,1381,1585,5683
compter,1710-1720,1730-1740,0.742767,0.257233,1313,1930,5714
monnoie,1770-1780,1789-1802,0.742284,0.257716,3510,7673,5685
donnons,1710-1720,1730-1740,0.741916,0.258084,578,391,5694
compassion,1740-1750,1770-1780,0.741835,0.258165,436,774,5689
peur,1710-1720,1750-1760,0.741547,0.258453,2266,3058,5714
changé,1730-1740,1750-1760,0.740993,0.259007,1909,1163,5707
jésuites,1710-1720,1720-1730,0.740774,0.259226,407,291,5636
exercice,1710-1720,1750-1760,0.740331,0.259669,593,698,5707
chargé,1720-1730,1760-1770,0.737953,0.262047,1341,6126,5715
senti,1730-1740,1789-1802,0.7377,0.2623,733,2315,5712
convenu,1760-1770,1789-1802,0.737318,0.262682,1029,1638,5701
soulagement,1730-1740,1750-1760,0.735711,0.264289,235,564,5688
avoue,1710-1720,1789-1802,0.733908,0.266092,224,971,5709
simplement,1750-1760,1780-1789,0.733816,0.266184,1131,1926,5711
forêts,1720-1730,1760-1770,0.733433,0.266567,502,2039,5689
accoutumé,1720-1730,1789-1802,0.733024,0.266976,378,819,5700
tenu,1710-1720,1720-1730,0.731838,0.268162,2397,1502,5711
sainteté,1750-1760,1789-1802,0.729311,0.270689,727,799,5673
hiver,1730-1740,1750-1760,0.728907,0.271093,123,238,5700
voyant,1730-1740,1740-1750,0.727937,0.272063,3009,3024,5714
confié,1760-1770,1789-1802,0.727296,0.272704,618,1417,5692
cire,1720-1730,1789-1802,0.726933,0.273067,1070,1168,5696
published,1750-1760,1770-1780,0.726857,0.273143,697,1034,75
assura,1700-1710,1720-1730,0.726445,0.273555,58,58,5649
critiques,1760-1770,1789-1802,0.725495,0.274505,836,996,5706
envie,1750-1760,1789-1802,0.724852,0.275148,1206,1650,5713
jugez,1710-1720,1760-1770,0.724496,0.275504,337,713,5688
prise,1720-1730,1740-1750,0.722821,0.277179,1438,2548,5715
racine,1730-1740,1789-1802,0.722691,0.277309,797,2685,5699
moyennant,1740-1750,1780-1789,0.721971,0.278029,577,1302,5680
capitaine,1720-1730,1760-1770,0.721807,0.278193,2816,13112,5702
accord,1710-1720,1789-1802,0.721148,0.278852,187,1202,5712
lacs,1710-1720,1720-1730,0.721088,0.278912,292,304,5667
loge,1720-1730,1760-1770,0.721061,0.278939,207,813,5688
