word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
calife,1700-1710,1730-1740,1.154151,-0.154151,919,69,,,,,
falle,1700-1710,1710-1720,1.089644,-0.089644,98,71,,0.02647,0.97353,,
filon,1700-1710,1770-1780,1.086516,-0.086516,85,1329,,0.076831,0.923169,,
milord,1700-1710,1750-1760,1.075156,-0.075156,113,1264,,0.015227,0.984773,,
guenois,1720-1730,1789-1802,1.050644,-0.050644,114,346,,,,,
strabon,1700-1710,1710-1720,1.045607,-0.045607,271,297,,0.016184,0.983816,,
pous,1700-1710,1740-1750,1.043126,-0.043126,51,192,,0.033605,0.966395,,
teste,1720-1730,1789-1802,1.03683,-0.03683,305,102,,,,,
falu,1780-1789,1789-1802,1.036,-0.036,171,85,,,,,
accessible,1730-1740,1789-1802,1.034185,-0.034185,107,157,,,,,
euf,1710-1720,1780-1789,1.010485,-0.010485,55,389,,0.027551,0.972449,,
posterité,1780-1789,1789-1802,1.008001,-0.008001,69,115,,,,,
finalement,1710-1720,1789-1802,1.007383,-0.007383,90,245,,0.009584,0.990416,,
pollion,1710-1720,1730-1740,1.007343,-0.007343,378,285,,0.0244,0.9756,,
liste,1700-1710,1789-1802,1.00652,-0.00652,65,2964,,0.026106,0.973894,,
merlin,1720-1730,1730-1740,1.004851,-0.004851,116,51,,,,,
sedan,1730-1740,1740-1750,1.003958,-0.003958,78,246,,0.030896,0.969104,,
jurez,1710-1720,1789-1802,1.000335,-0.000335,4773,126,,,,,
apelle,1740-1750,1780-1789,0.996843,0.003157,203,118,,,,,
mesme,1700-1710,1789-1802,0.995948,0.004052,1685,51,,,,,
marchez,1710-1720,1750-1760,0.995784,0.004216,1626,68,,,,,
qu'ailleurs,1730-1740,1789-1802,0.995519,0.004481,117,285,,,,,
fée,1710-1720,1740-1750,0.990116,0.009884,152,1516,,0.078333,0.921667,,
requiert,1720-1730,1750-1760,0.987761,0.012239,71,107,,,,,
quité,1700-1710,1789-1802,0.987442,0.012558,83,215,,0.037147,0.962853,,
temoins,1710-1720,1740-1750,0.98603,0.01397,185,59,,0.019811,0.980189,,
unanime,1700-1710,1789-1802,0.985069,0.014931,69,682,,0.030011,0.969989,,
alliez,1720-1730,1789-1802,0.984731,0.015269,672,154,,,,,
déli,1700-1710,1789-1802,0.983271,0.016729,59,623,,0.018169,0.981831,,
juan,1700-1710,1730-1740,0.983174,0.016826,377,193,,,,,
proverbe,1730-1740,1760-1770,0.980702,0.019298,308,742,,,,,
trie,1710-1720,1720-1730,0.978954,0.021046,67,112,,0.008223,0.991777,,
cornue,1700-1710,1740-1750,0.977762,0.022238,57,175,,0.009342,0.990658,,
celer,1700-1710,1760-1770,0.977042,0.022958,88,67,,,,,
desormais,1770-1780,1789-1802,0.976951,0.023049,94,60,,,,,
fonc,1760-1770,1789-1802,0.976486,0.023514,301,457,,0.027094,0.972906,,
gentils,1700-1710,1780-1789,0.976314,0.023686,201,1057,,0.043618,0.956382,,
victor,1720-1730,1789-1802,0.973131,0.026869,194,1943,,0.030377,0.969623,,
cons,1720-1730,1789-1802,0.972828,0.027172,110,3190,,0.023651,0.976349,,
malte,1740-1750,1770-1780,0.972425,0.027575,207,647,,0.026048,0.973952,,
pret,1730-1740,1750-1760,0.971893,0.028107,70,660,,0.015391,0.984609,,
mani,1710-1720,1740-1750,0.970555,0.029445,63,245,,0.015228,0.984772,,
jule,1700-1710,1789-1802,0.968999,0.031001,167,149,,,,,
jusqu'à,1720-1730,1770-1780,0.96844,0.03156,6250,27096,,,,,
blement,1710-1720,1730-1740,0.968082,0.031918,66,150,,0.010844,0.989156,,
prefet,1710-1720,1780-1789,0.967425,0.032575,289,274,,0.038541,0.961459,,
timon,1700-1710,1789-1802,0.967047,0.032953,54,535,,0.033468,0.966532,,
qu'en,1730-1740,1770-1780,0.964489,0.035511,8861,22430,,,,,
plutot,1700-1710,1720-1730,0.964384,0.035616,75,302,,0.016596,0.983404,,
fement,1700-1710,1789-1802,0.964116,0.035884,63,259,,0.017523,0.982477,,
notice,1700-1710,1760-1770,0.963071,0.036929,251,317,,0.073133,0.926867,,
mol,1730-1740,1750-1760,0.962983,0.037017,626,165,,0.069298,0.930702,,
ménie,1700-1710,1740-1750,0.961406,0.038594,54,110,,0.009985,0.990015,,
e'e,1740-1750,1760-1770,0.960548,0.039452,108,110,,,,,
touts,1720-1730,1780-1789,0.9605,0.0395,516,248,,,,,
pref,1700-1710,1770-1780,0.957976,0.042024,275,1259,,0.013255,0.986745,,
miere,1780-1789,1789-1802,0.957651,0.042349,744,243,,,,,
curion,1700-1710,1710-1720,0.956754,0.043246,207,80,,,,,
mary,1700-1710,1760-1770,0.95548,0.04452,1186,118,,,,,
cout,1720-1730,1730-1740,0.953913,0.046087,97,177,,0.052658,0.947342,,
dominant,1700-1710,1750-1760,0.953602,0.046398,84,250,,0.026149,0.973851,,
flon,1720-1730,1789-1802,0.951664,0.048336,133,146,,,,,
aban,1770-1780,1780-1789,0.951628,0.048372,289,536,,0.007618,0.992382,,
linon,1720-1730,1789-1802,0.95096,0.04904,90,95,,,,,
