word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
exposant,1770-1780,1789-1802,0.950088,0.049912,321,194,,,,,
sortira,1700-1710,1710-1720,0.945343,0.054657,84,132,,0.024524,0.975476,,
l'avenir,1780-1789,1789-1802,0.920749,0.079251,3801,3842,,,,,
feurs,1710-1720,1780-1789,0.917525,0.082475,214,604,,0.019741,0.980259,,
rançon,1710-1720,1789-1802,0.902784,0.097216,120,186,,0.010196,0.989804,,
guéres,1770-1780,1780-1789,0.901798,0.098202,183,77,,,,,
rappel,1730-1740,1770-1780,0.89025,0.10975,172,553,,,,,
altesse,1710-1720,1730-1740,0.882639,0.117361,406,488,,,,,
venois,1710-1720,1720-1730,0.879922,0.120078,97,189,,0.02584,0.97416,,
l'étranger,1710-1720,1760-1770,0.875388,0.124612,86,1719,,,,,
d'égard,1760-1770,1780-1789,0.873961,0.126039,124,178,,,,,
aiant,1780-1789,1789-1802,0.871587,0.128413,383,102,,,,,
apris,1780-1789,1789-1802,0.870399,0.129601,247,269,,,,,
l'impuissance,1710-1720,1760-1770,0.858522,0.141478,60,234,,,,,
quelqu'une,1710-1720,1770-1780,0.851389,0.148611,148,394,,,,,
d'amis,1710-1720,1780-1789,0.844922,0.155078,120,548,,,,,
sçais,1700-1710,1789-1802,0.843504,0.156496,101,79,,0.184227,0.815773,,
obli,1700-1710,1780-1789,0.840664,0.159336,210,471,,0.013493,0.986507,,
vuider,1730-1740,1789-1802,0.836198,0.163802,114,173,,,,,
dignement,1730-1740,1760-1770,0.833866,0.166134,177,192,,,,,
d'en,1710-1720,1740-1750,0.828749,0.171251,7563,10661,,,,,
supposons,1700-1710,1730-1740,0.815034,0.184966,132,213,,0.025482,0.974518,,
d'etat,1740-1750,1789-1802,0.810814,0.189186,1548,1832,,,,,
s'informer,1710-1720,1770-1780,0.81065,0.18935,86,282,,,,,
paier,1760-1770,1789-1802,0.808333,0.191667,139,94,,,,,
pour,1710-1720,1750-1760,0.804353,0.195647,175155,296485,,0.006659,0.993341,,
d'exprimer,1700-1710,1720-1730,0.802121,0.197879,75,51,,,,,
l'aumône,1720-1730,1750-1760,0.799422,0.200578,59,144,,,,,
secrette,1740-1750,1789-1802,0.799176,0.200824,251,382,,0.015659,0.984341,,
s'ef,1700-1710,1720-1730,0.798174,0.201826,59,126,,,,,
coûter,1720-1730,1770-1780,0.79431,0.20569,63,397,,,,,
d'application,1760-1770,1789-1802,0.793614,0.206386,153,137,,,,,
répéter,1700-1710,1710-1720,0.792035,0.207965,67,125,,0.015146,0.984854,,
consistent,1710-1720,1770-1780,0.791223,0.208777,52,233,,0.023021,0.976979,,
impatient,1710-1720,1780-1789,0.791042,0.208958,103,356,,,,,
d'épée,1700-1710,1750-1760,0.790358,0.209642,59,112,,,,,
l'est,1730-1740,1789-1802,0.788942,0.211058,1158,4373,,,,,
l'immortalité,1710-1720,1760-1770,0.784345,0.215655,100,440,,,,,
protestation,1710-1720,1760-1770,0.783702,0.216298,67,86,,0.017085,0.982915,,
dépendoit,1710-1720,1780-1789,0.782273,0.217727,71,427,,0.049398,0.950602,,
meure,1710-1720,1720-1730,0.782146,0.217854,223,213,,,,,
sonner,1730-1740,1750-1760,0.781791,0.218209,185,172,,0.020536,0.979464,,
gueres,1750-1760,1789-1802,0.776496,0.223504,695,295,,0.01834,0.98166,,
relâcher,1710-1720,1730-1740,0.776182,0.223818,91,182,,0.030322,0.969678,,
reliefs,1730-1740,1740-1750,0.772688,0.227312,65,103,,,,,
foye,1750-1760,1789-1802,0.772319,0.227681,1046,67,,,,,
fruitiers,1710-1720,1760-1770,0.772261,0.227739,402,329,,,,,
estre,1740-1750,1789-1802,0.771332,0.228668,2396,136,,,,,
l'oblige,1710-1720,1740-1750,0.770684,0.229316,61,92,,,,,
regretter,1700-1710,1750-1760,0.770047,0.229953,51,331,,0.011266,0.988734,,
teinte,1740-1750,1760-1770,0.76966,0.23034,127,474,,0.043135,0.956865,,
languir,1720-1730,1760-1770,0.767184,0.232816,81,343,,0.023146,0.976854,,
senat,1760-1770,1789-1802,0.76698,0.23302,56,63,,,,,
d'orléans,1720-1730,1770-1780,0.76692,0.23308,1253,1968,,,,,
défenses,1710-1720,1789-1802,0.766886,0.233114,3710,480,,,,,
sçavoir,1710-1720,1789-1802,0.766877,0.233123,2562,339,,,,,
