word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
sortira,1710-1720,1750-1760,0.991041,0.008959,132,197,
l'avenir,1760-1770,1789-1802,0.974887,0.025113,2428,3842,
gueres,1760-1770,1789-1802,0.933396,0.066604,1142,295,
exposant,1730-1740,1789-1802,0.927001,0.072999,272,194,
d'amis,1730-1740,1789-1802,0.921563,0.078437,157,448,
d'égard,1760-1770,1780-1789,0.915794,0.084206,124,178,
l'étranger,1710-1720,1760-1770,0.909804,0.090196,86,1719,
quelqu'une,1740-1750,1750-1760,0.906272,0.093728,244,271,
aiant,1750-1760,1789-1802,0.903977,0.096023,313,102,
rappel,1730-1740,1780-1789,0.902927,0.097073,172,505,
l'impuissance,1710-1720,1750-1760,0.902857,0.097143,60,242,
feurs,1710-1720,1780-1789,0.889674,0.110326,214,604,
guéres,1750-1760,1780-1789,0.887301,0.112699,575,77,
apris,1770-1780,1789-1802,0.88056,0.11944,262,269,
vuider,1730-1740,1789-1802,0.8779,0.1221,114,173,
moururent,1730-1740,1750-1760,0.861918,0.138082,76,94,
pour,1760-1770,1770-1780,0.861174,0.138826,421468,518463,
dignement,1750-1760,1789-1802,0.859857,0.140143,197,317,
mineurs,1720-1730,1770-1780,0.856997,0.143003,180,1245,
supposons,1710-1720,1730-1740,0.850647,0.149353,121,213,
guere,1760-1770,1770-1780,0.850618,0.149382,1330,2332,
d'en,1700-1710,1720-1730,0.84748,0.15252,4513,6686,
s'informer,1710-1720,1770-1780,0.84693,0.15307,86,282,
palier,1750-1760,1789-1802,0.844915,0.155085,185,196,
d'application,1730-1740,1789-1802,0.834696,0.165304,83,137,
paier,1760-1770,1789-1802,0.832961,0.167039,139,94,
estre,1760-1770,1789-1802,0.831629,0.168371,473,136,
reliefs,1740-1750,1750-1760,0.826298,0.173702,103,134,
venois,1710-1720,1760-1770,0.825423,0.174577,97,448,
choisie,1720-1730,1780-1789,0.824626,0.175374,71,442,
voyager,1700-1710,1720-1730,0.819424,0.180576,84,124,
protestation,1710-1720,1760-1770,0.818553,0.181447,67,86,
d'etat,1770-1780,1780-1789,0.818276,0.181724,2446,3064,
confia,1710-1720,1720-1730,0.814872,0.185128,67,78,
rançon,1710-1720,1720-1730,0.814692,0.185308,120,167,
regretter,1700-1710,1750-1760,0.814684,0.185316,51,331,
convint,1700-1710,1789-1802,0.813965,0.186035,63,426,
souviens,1710-1720,1730-1740,0.811283,0.188717,306,291,
altesse,1710-1720,1730-1740,0.809149,0.190851,406,488,
s'ef,1700-1710,1730-1740,0.806952,0.193048,59,131,
d'épée,1700-1710,1750-1760,0.806334,0.193666,59,112,
d'espace,1720-1730,1789-1802,0.805323,0.194677,100,172,
n'appartient,1760-1770,1770-1780,0.804068,0.195932,370,527,
défendoit,1710-1720,1760-1770,0.802885,0.197115,80,224,
mâles,1710-1720,1780-1789,0.802654,0.197346,177,1039,
consistent,1710-1720,1760-1770,0.802275,0.197725,52,314,
jeûne,1710-1720,1760-1770,0.800767,0.199233,87,147,
sçais,1720-1730,1789-1802,0.799619,0.200381,168,79,
relâcher,1710-1720,1730-1740,0.798196,0.201804,91,182,
l'heure,1710-1720,1789-1802,0.796786,0.203214,942,2315,
rions,1720-1730,1760-1770,0.795676,0.204324,184,388,
dont,1710-1720,1750-1760,0.794526,0.205474,31770,67118,
coûter,1720-1730,1730-1740,0.793964,0.206036,63,117,
d'exprimer,1700-1710,1720-1730,0.793829,0.206171,75,51,
sonner,1730-1740,1740-1750,0.793621,0.206379,185,243,
secrette,1710-1720,1780-1789,0.793128,0.206872,102,499,
tendoit,1700-1710,1710-1720,0.790656,0.209344,67,73,
obli,1700-1710,1720-1730,0.78942,0.21058,210,221,
sçavoir,1710-1720,1789-1802,0.788165,0.211835,2562,339,
l'accepter,1720-1730,1740-1750,0.787341,0.212659,62,116,
éternellement,1730-1740,1780-1789,0.786334,0.213666,303,532,
conseille,1740-1750,1760-1770,0.786092,0.213908,302,587,
habiller,1750-1760,1780-1789,0.784108,0.215892,77,158,
qu'étant,1750-1760,1770-1780,0.783746,0.216254,537,1037,
culier,1720-1730,1780-1789,0.782482,0.217518,65,237,
répéter,1710-1720,1720-1730,0.782326,0.217674,125,131,
l'aumône,1720-1730,1730-1740,0.779335,0.220665,59,77,
releva,1700-1710,1720-1730,0.778612,0.221388,70,85,
purifie,1700-1710,1710-1720,0.777249,0.222751,89,111,
bâtard,1740-1750,1770-1780,0.776597,0.223403,147,269,
dépendoit,1780-1789,1789-1802,0.776354,0.223646,427,285,
n'oublia,1720-1730,1730-1740,0.776285,0.223715,79,105,
meure,1710-1720,1750-1760,0.775978,0.224022,223,269,
senat,1760-1770,1789-1802,0.771616,0.228384,56,63,
gallicane,1710-1720,1750-1760,0.770984,0.229016,58,98,
resolu,1770-1780,1789-1802,0.769177,0.230823,60,90,
défunt,1720-1730,1789-1802,0.769085,0.230915,191,263,
l'immortalité,1710-1720,1770-1780,0.767636,0.232364,100,660,
librairie,1710-1720,1789-1802,0.76553,0.23447,70,185,
suffisant,1750-1760,1760-1770,0.765399,0.234601,263,311,
saura,1710-1720,1720-1730,0.765128,0.234872,74,71,
infideles,1720-1730,1730-1740,0.764518,0.235482,63,84,
saluer,1740-1750,1750-1760,0.762297,0.237703,207,51,
d'armée,1720-1730,1770-1780,0.762244,0.237756,410,366,
revenoit,1730-1740,1760-1770,0.761757,0.238243,415,305,
teinte,1710-1720,1740-1750,0.761163,0.238837,83,127,
préparation,1720-1730,1730-1740,0.760969,0.239031,136,207,
proches,1760-1770,1780-1789,0.760775,0.239225,584,862,
travailla,1710-1720,1730-1740,0.760585,0.239415,97,142,
impatient,1710-1720,1730-1740,0.759792,0.240208,103,120,
tirez,1720-1730,1740-1750,0.759441,0.240559,497,227,
bâtards,1710-1720,1770-1780,0.757598,0.242402,481,161,
s'adresser,1750-1760,1760-1770,0.757022,0.242978,158,623,
comprit,1710-1720,1750-1760,0.75691,0.24309,88,195,
milice,1720-1730,1730-1740,0.75688,0.24312,428,451,
pourvû,1780-1789,1789-1802,0.755053,0.244947,91,82,
d'honneurs,1710-1720,1780-1789,0.754491,0.245509,53,237,
necessaire,1720-1730,1780-1789,0.754153,0.245847,882,500,
