word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
king,1700-1710,1770-1780,230,1429,4350,0.9992,0.9453,0.9925
gage,1760-1770,1780-1789,920,1701,5695,0.9991,0.0548,0.002
tâche,1710-1720,1789-1802,266,1275,5701,0.998,0.9375,0.9625
ann,1740-1750,1789-1802,1201,689,5677,0.9974,0.9716,0.9972
maine,1710-1720,1770-1780,1683,984,5677,0.9973,0.9983,0.9546
roger,1740-1750,1789-1802,111,1237,5633,0.9971,0.1888,0.7147
champ,1760-1770,1789-1802,5086,7211,5711,0.9969,0.391,0.7681
dehors,1750-1760,1789-1802,2079,3871,5709,0.9967,0.3793,0.3566
nouvelle,1740-1750,1770-1780,8209,17222,5719,0.9963,0.1627,0.3659
toutefois,1720-1730,1780-1789,959,2560,5701,0.9956,0.2588,0.2778
come,1740-1750,1780-1789,864,429,5670,0.9954,0.9105,0.989
sor,1700-1710,1720-1730,640,96,5678,0.9953,0.7791,0.9527
compagne,1720-1730,1740-1750,250,489,5686,0.9952,0.0223,0.0304
veu,1720-1730,1789-1802,1135,691,5685,0.9948,0.9884,0.9902
précédent,1730-1740,1789-1802,786,2261,5703,0.9947,0.3001,0.7487
sol,1730-1740,1780-1789,1304,1562,5688,0.9944,0.9886,0.9996
marc,1720-1730,1770-1780,7910,3558,5700,0.9942,0.9858,0.9993
tour,1700-1710,1720-1730,2916,4883,5718,0.994,0.0722,0.2152
plein,1730-1740,1740-1750,2774,2215,5716,0.9939,0.1015,0.36
thou,1780-1789,1789-1802,2315,749,5549,0.9936,0.9661,0.9984
versailles,1710-1720,1750-1760,866,867,5695,0.9929,0.5663,0.7903
fig,1700-1710,1770-1780,281,7646,5628,0.9928,0.9805,0.9982
dépôt,1710-1720,1789-1802,258,2374,5689,0.9928,0.3438,0.6574
san,1710-1720,1730-1740,137,4012,5685,0.9921,0.235,0.8321
iij,1730-1740,1789-1802,1045,1261,5680,0.9918,0.4044,0.9733
réserve,1720-1730,1750-1760,239,970,5693,0.9917,0.2069,0.5082
avance,1730-1740,1750-1760,685,856,5715,0.9917,0.0642,0.064
mme,1700-1710,1750-1760,3086,920,5683,0.9914,0.9934,0.9916
sus,1720-1730,1760-1770,281,642,5697,0.991,0.1989,0.5905
aujourd,1730-1740,1770-1780,152,939,5716,0.9907,0.8477,0.7383
poli,1780-1789,1789-1802,1363,1331,5697,0.9905,0.0009,0.0226
hors,1740-1750,1750-1760,4099,4617,5716,0.9903,0.0768,0.2254
date,1710-1720,1760-1770,592,2122,5712,0.99,0.1608,0.6958
done,1730-1740,1770-1780,687,759,5666,0.9895,0.8857,0.9395
nota,1700-1710,1750-1760,217,837,5678,0.9894,0.6502,0.9639
salut,1780-1789,1789-1802,1418,3954,5700,0.9889,0.9201,0.8292
ras,1700-1710,1789-1802,321,1963,5675,0.9883,0.3001,0.8493
conséquence,1770-1780,1780-1789,5192,5403,5712,0.9877,0.3557,0.2067
xvi,1710-1720,1789-1802,526,6368,5712,0.9871,0.9926,0.9801
général,1710-1720,1750-1760,3127,12301,5718,0.9868,0.7048,0.6402
aul,1710-1720,1730-1740,353,143,5657,0.9859,0.4377,0.9701
lent,1740-1750,1780-1789,863,1868,5707,0.985,0.1737,0.0027
dubois,1700-1710,1720-1730,59,794,5657,0.9849,0.9809,0.9676
sen,1710-1720,1789-1802,379,1506,5693,0.9847,0.3411,0.4813
présent,1740-1750,1789-1802,6404,12793,5716,0.9847,0.3611,0.455
bizarre,1720-1730,1740-1750,185,1191,5688,0.9843,0.9255,0.9577
présens,1750-1760,1789-1802,728,1187,5678,0.9842,0.2299,0.0217
secondes,1740-1750,1789-1802,412,769,5678,0.9836,0.1637,0.6275
lig,1710-1720,1730-1740,276,264,5575,0.9834,0.231,0.8625
ali,1700-1710,1780-1789,583,1176,5682,0.9833,0.7359,0.9299
perdant,1720-1730,1750-1760,123,283,5684,0.9832,0.2513,0.4587
veaux,1740-1750,1750-1760,460,348,5666,0.9828,0.8871,0.8951
phi,1710-1720,1789-1802,380,725,5683,0.9827,0.4231,0.9192
présente,1710-1720,1740-1750,811,2067,5713,0.9816,0.1588,0.0498
pen,1700-1710,1760-1770,893,1712,5699,0.9815,0.0315,0.6122
fins,1710-1720,1730-1740,1048,1277,5708,0.9813,0.6008,0.5315
ressort,1770-1780,1789-1802,2742,2009,5707,0.9812,0.0783,0.0391
rem,1700-1710,1789-1802,923,1582,5697,0.9811,0.6848,0.9792
prochain,1750-1760,1760-1770,1295,2076,5702,0.981,0.3551,0.7501
motte,1710-1720,1740-1750,808,241,5665,0.9808,0.7144,0.9594
commune,1780-1789,1789-1802,5825,11455,5717,0.9807,0.884,0.8086
moindres,1730-1740,1780-1789,686,1566,5707,0.9805,0.256,0.3865
privation,1770-1780,1780-1789,643,850,5678,0.9803,0.0507,0.0607
nouvel,1710-1720,1750-1760,600,1694,5709,0.9801,0.1459,0.2102
étant,1700-1710,1710-1720,6601,6439,5718,0.9798,0.1111,0.4404
cal,1710-1720,1770-1780,262,873,5685,0.9797,0.0369,0.9303
entiers,1740-1750,1780-1789,703,1224,5700,0.9793,0.5036,0.2633
lier,1730-1740,1789-1802,851,2141,5706,0.979,0.0018,0.0034
fond,1730-1740,1750-1760,5107,6096,5716,0.979,0.4049,0.2053
gilles,1710-1720,1780-1789,1073,249,5634,0.9787,0.3654,0.7478
royauté,1740-1750,1750-1760,210,840,5681,0.9786,0.9442,0.9239
énorme,1770-1780,1789-1802,1293,1772,5703,0.9784,0.0341,0.0713
fie,1710-1720,1740-1750,926,1546,5705,0.9777,0.2821,0.0923
convention,1760-1770,1789-1802,1081,10757,5703,0.9773,0.8881,0.968
lat,1720-1730,1760-1770,847,10946,5673,0.9772,0.5924,0.9785
fol,1730-1740,1760-1770,6496,6265,5705,0.9769,0.9924,0.9979
levée,1710-1720,1730-1740,580,1289,5691,0.9766,0.9079,0.902
hauts,1730-1740,1750-1760,552,522,5690,0.9763,0.3431,0.4877
etc,1710-1720,1720-1730,743,844,5704,0.9762,0.0663,0.7038
moyen,1720-1730,1740-1750,3664,7116,5718,0.976,0.6367,0.6121
détail,1730-1740,1770-1780,1968,4516,5715,0.9757,0.2398,0.2311
mercure,1730-1740,1760-1770,1159,1653,5701,0.9755,0.2378,0.5075
séparation,1710-1720,1780-1789,154,608,5676,0.9753,0.4334,0.3018
basse,1750-1760,1760-1770,1816,2093,5707,0.9751,0.7451,0.7709
meilleur,1700-1710,1789-1802,1259,4514,5713,0.9747,0.6604,0.4772
vagues,1770-1780,1789-1802,1139,1113,5695,0.9746,0.1848,0.0285
désormais,1780-1789,1789-1802,672,1432,5675,0.9745,0.0516,0.088
lors,1710-1720,1740-1750,5874,4585,5715,0.9745,0.2416,0.8659
vert,1730-1740,1740-1750,457,330,5681,0.9743,0.0068,0.291
fantaisie,1710-1720,1750-1760,290,392,5678,0.9741,0.2926,0.3022
rie,1700-1710,1730-1740,759,1617,5706,0.974,0.6181,0.9385
vide,1700-1710,1789-1802,514,888,5684,0.9736,0.9163,0.9877
voile,1720-1730,1780-1789,709,3783,5715,0.9731,0.5943,0.6813
recherche,1710-1720,1740-1750,467,760,5702,0.9726,0.0572,0.0651
sieurs,1780-1789,1789-1802,1935,1774,5682,0.9725,0.7951,0.4943
vieux,1720-1730,1789-1802,1598,5011,5714,0.9724,0.1579,0.3086
rens,1700-1710,1740-1750,120,380,5675,0.9722,0.0978,0.8234
franche,1740-1750,1789-1802,277,1331,5682,0.972,0.2136,0.2412
cir,1700-1710,1750-1760,330,847,5687,0.9715,0.4433,0.9409
ménage,1710-1720,1720-1730,394,215,5689,0.9706,0.1483,0.1523
sup,1700-1710,1789-1802,303,1409,5699,0.9702,0.8804,0.9751
falut,1700-1710,1789-1802,293,1170,5603,0.9702,0.8539,0.8479
tion,1720-1730,1740-1750,3067,6468,5715,0.9699,0.2676,0.4538
hui,1700-1710,1789-1802,189,1828,5716,0.9699,0.8647,0.8737
