word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
calife,1700-1710,1730-1740,919,69,,1.0,,
falle,1700-1710,1710-1720,98,71,,0.9999,0.761,
filon,1700-1710,1770-1780,85,1329,,0.9998,0.9875,
milord,1700-1710,1750-1760,113,1264,,0.9998,0.3861,
guenois,1720-1730,1789-1802,114,346,,0.9997,,
strabon,1700-1710,1710-1720,271,297,,0.9996,0.4304,
pous,1700-1710,1740-1750,51,192,,0.9995,0.8661,
teste,1720-1730,1789-1802,305,102,,0.9995,,
falu,1780-1789,1789-1802,171,85,,0.9994,,
accessible,1730-1740,1789-1802,107,157,,0.9993,,
euf,1710-1720,1780-1789,55,389,,0.9991,0.7806,
posterité,1780-1789,1789-1802,69,115,,0.999,,
finalement,1710-1720,1789-1802,90,245,,0.9989,0.0873,
pollion,1710-1720,1730-1740,378,285,,0.9988,0.7146,
liste,1700-1710,1789-1802,65,2964,,0.9988,0.7529,
merlin,1720-1730,1730-1740,116,51,,0.9986,,
sedan,1730-1740,1740-1750,78,246,,0.9985,0.831,
jurez,1710-1720,1789-1802,4773,126,,0.9984,,
apelle,1740-1750,1780-1789,203,118,,0.9984,,
mesme,1700-1710,1789-1802,1685,51,,0.9983,,
marchez,1710-1720,1750-1760,1626,68,,0.9982,,
qu'ailleurs,1730-1740,1789-1802,117,285,,0.9981,,
fée,1710-1720,1740-1750,152,1516,,0.9981,0.9888,
requiert,1720-1730,1750-1760,71,107,,0.9979,,
quité,1700-1710,1789-1802,83,215,,0.9978,0.8998,
temoins,1710-1720,1740-1750,185,59,,0.9977,0.58,
unanime,1700-1710,1789-1802,69,682,,0.9977,0.8215,
alliez,1720-1730,1789-1802,672,154,,0.9976,,
déli,1700-1710,1789-1802,59,623,,0.9975,0.5205,
juan,1700-1710,1730-1740,377,193,,0.9974,,
proverbe,1730-1740,1760-1770,308,742,,0.9972,,
trie,1710-1720,1720-1730,67,112,,0.997,0.0416,
cornue,1700-1710,1740-1750,57,175,,0.997,0.0778,
celer,1700-1710,1760-1770,88,67,,0.9968,,
desormais,1770-1780,1789-1802,94,60,,0.9967,,
fonc,1760-1770,1789-1802,301,457,,0.9966,0.7714,
gentils,1700-1710,1780-1789,201,1057,,0.9965,0.9358,
victor,1720-1730,1789-1802,194,1943,,0.9963,0.8262,
cons,1720-1730,1789-1802,110,3190,,0.9962,0.6952,
malte,1740-1750,1770-1780,207,647,,0.9961,0.7516,
pret,1730-1740,1750-1760,70,660,,0.996,0.3953,
mani,1710-1720,1740-1750,63,245,,0.996,0.3864,
jule,1700-1710,1789-1802,167,149,,0.9959,,
jusqu'à,1720-1730,1770-1780,6250,27096,,0.9958,,
blement,1710-1720,1730-1740,66,150,,0.9957,0.1496,
prefet,1710-1720,1780-1789,289,274,,0.9956,0.9092,
timon,1700-1710,1789-1802,54,535,,0.9955,0.8649,
qu'en,1730-1740,1770-1780,8861,22430,,0.9952,,
plutot,1700-1710,1720-1730,75,302,,0.9951,0.4501,
fement,1700-1710,1789-1802,63,259,,0.995,0.489,
notice,1700-1710,1760-1770,251,317,,0.9949,0.9857,
mol,1730-1740,1750-1760,626,165,,0.9949,0.9833,
ménie,1700-1710,1740-1750,54,110,,0.9946,0.1072,
e'e,1740-1750,1760-1770,108,110,,0.9945,,
touts,1720-1730,1780-1789,516,248,,0.9945,,
pref,1700-1710,1770-1780,275,1259,,0.9943,0.2792,
