word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
exposant,1770-1780,1789-1802,321,194,,0.9932,,
sortira,1700-1710,1710-1720,84,132,,0.9925,0.7168,
l'avenir,1780-1789,1789-1802,3801,3842,,0.987,,
feurs,1710-1720,1780-1789,214,604,,0.9863,0.5777,
rançon,1710-1720,1789-1802,120,186,,0.9821,0.1157,
guéres,1770-1780,1780-1789,183,77,,0.9815,,
rappel,1730-1740,1770-1780,172,553,,0.9767,,
altesse,1710-1720,1730-1740,406,488,,0.9731,,
venois,1710-1720,1720-1730,97,189,,0.972,0.7477,
l'étranger,1710-1720,1760-1770,86,1719,,0.9698,,
d'égard,1760-1770,1780-1789,124,178,,0.9692,,
aiant,1780-1789,1789-1802,383,102,,0.9677,,
apris,1780-1789,1789-1802,247,269,,0.9672,,
l'impuissance,1710-1720,1760-1770,60,234,,0.9594,,
quelqu'une,1710-1720,1770-1780,148,394,,0.9563,,
d'amis,1710-1720,1780-1789,120,548,,0.9524,,
sçais,1700-1710,1789-1802,101,79,,0.9519,0.9995,
obli,1700-1710,1780-1789,210,471,,0.9492,0.2937,
vuider,1730-1740,1789-1802,114,173,,0.9459,,
dignement,1730-1740,1760-1770,177,192,,0.9441,,
d'en,1710-1720,1740-1750,7563,10661,,0.9383,,
supposons,1700-1710,1730-1740,132,213,,0.9243,0.74,
d'etat,1740-1750,1789-1802,1548,1832,,0.9204,,
s'informer,1710-1720,1770-1780,86,282,,0.9201,,
paier,1760-1770,1789-1802,139,94,,0.9177,,
pour,1710-1720,1750-1760,175155,296485,,0.9132,0.0132,
d'exprimer,1700-1710,1720-1730,75,51,,0.9098,,
l'aumône,1720-1730,1750-1760,59,144,,0.9059,,
secrette,1740-1750,1789-1802,251,382,,0.9055,0.4075,
s'ef,1700-1710,1720-1730,59,126,,0.9044,,
coûter,1720-1730,1770-1780,63,397,,0.8997,,
d'application,1760-1770,1789-1802,153,137,,0.8992,,
répéter,1700-1710,1710-1720,67,125,,0.8972,0.382,
consistent,1710-1720,1770-1780,52,233,,0.896,0.6785,
impatient,1710-1720,1780-1789,103,356,,0.8957,,
d'épée,1700-1710,1750-1760,59,112,,0.8947,,
l'est,1730-1740,1789-1802,1158,4373,,0.8922,,
l'immortalité,1710-1720,1760-1770,100,440,,0.886,,
protestation,1710-1720,1760-1770,67,86,,0.885,0.4719,
dépendoit,1710-1720,1780-1789,71,427,,0.8826,0.955,
meure,1710-1720,1720-1730,223,213,,0.8824,,
sonner,1730-1740,1750-1760,185,172,,0.8816,0.6065,
gueres,1750-1760,1789-1802,695,295,,0.8744,0.5288,
relâcher,1710-1720,1730-1740,91,182,,0.874,0.8258,
reliefs,1730-1740,1740-1750,65,103,,0.8692,,
foye,1750-1760,1789-1802,1046,67,,0.8684,,
fruitiers,1710-1720,1760-1770,402,329,,0.8681,,
estre,1740-1750,1789-1802,2396,136,,0.867,,
l'oblige,1710-1720,1740-1750,61,92,,0.8664,,
regretter,1700-1710,1750-1760,51,331,,0.8655,0.1708,
teinte,1740-1750,1760-1770,127,474,,0.865,0.9334,
languir,1720-1730,1760-1770,81,343,,0.8607,0.6818,
senat,1760-1770,1789-1802,56,63,,0.8604,,
d'orléans,1720-1730,1770-1780,1253,1968,,0.8602,,
défenses,1710-1720,1789-1802,3710,480,,0.8601,,
sçavoir,1710-1720,1789-1802,2562,339,,0.86,,
convint,1700-1710,1789-1802,63,426,,0.8597,0.789,
infideles,1720-1730,1789-1802,63,83,,0.8584,,
souviens,1770-1780,1780-1789,615,743,,0.8569,,
enleva,1710-1720,1740-1750,80,202,,0.8558,0.5317,
culier,1710-1720,1789-1802,70,182,,0.8551,,
