mot_cible,nb_ancres,ancres
aban,3,"avis, marques, louanges"
abandonna,7,"remit, retira, quitta, rendit, emporta, revint, suivit"
abandonne,5,"attend, rende, prépare, destine, s'abandonne"
abandonner,9,"quitter, attendre, attaquer, suivre, retirer, demeurer, ceder, oublier, emporter"
abandonnez,10,"montrez, vivez, fuyez, sauvez, cherchez, sortez, souvenez, partez, touchez, priez"
abandonné,9,"sauvé, quitté, perdu, rencontré, laissé, jetté, retiré, fauvé, maltraité"
abandonnée,4,"trouvée, retirée, changée, jettée"
abattre,6,"arracher, couper, enfoncer, emporter, fendre, couvrir"
abattu,3,"accablé, percé, brûlé"
abbaye,11,"prieuré, cathédrale, prieur, bulle, diocèse, bourges, évêque, chanoine, chateau, chapelle, abbé"
abbé,18,"évêque, chanoine, tellier, l'abbé, archevêque, curé, evêque, nicolas, moine, bernard, avocat, prieur, doyen, l'evêque, vicaire, docteur, prélat, sorbonne"
abeilles,14,"mouches, plantes, odeurs, miel, paniers, oiseaux, animaux, poules, arbres, fleurs, pommes, herbes, bêtes, serpens"
abfence,15,"absence, exil, rappel, hôte, oncle, frere, départ, confulat, affliction, enfance, epouse, neveu, arrivée, camarade, mari"
aboli,4,"confirmé, établi, pratiqué, introduit"
abominable,5,"horrible, terrible, cruel, coupable, affreux"
abon,7,"abondance, abonde, légumes, abondant, quantité, d'herbes, sertile"
abondamment,8,"abondance, nourriture, l'odeur, légumes, d'herbes, nourrir, quantité, miel"
abondance,7,"quantité, chaleur, étendue, abonde, d'herbes, légumes, sertile"
abondant,10,"sertile, terroir, exquis, abonde, délicat, gras, sain, peuplée, estimé, rare"
abondante,11,"sertile, abondant, douce, abonde, humide, abondance, délicate, grasse, d'herbes, épaisse, recolte"
abondantes,3,"chaudes, humides, cheres"
abonde,9,"sertile, terroir, légumes, d'herbes, volaille, abondant, gibier, l'odeur, arrose"
abord,7,"hôte, étonnement, éclat, orage, oeil, emportement, oiseau"
aborder,12,"mouiller, embarquer, chaloupe, s'embarquer, attaquer, nager, chaloupes, descendre, rade, approcher, aller, retirer"
abraham,12,"jacob, l'ange, daniel, prophete, adam, sauveur, dien, david, bénédiction, bernard, vierge, juda"
abrégé,6,"auteur, intitulé, volume, recueil, commentaire, l'auteur"
absence,19,"abfence, exil, départ, oncle, affliction, père, enfance, frère, arrivée, retour, rappel, mari, hôte, neveu, ambassade, epouse, sejour, frere, camarade"
absent,19,"sorti, préteur, arrivé, majeur, demeuré, allé, marié, mineur, retourné, malade, venu, tombé, entré, devenu, finie, tuteur, informé, affranchi, mariée"
absolu,3,"souverain, souveraine, superieur"
absolue,4,"infinie, necessité, certaine, souveraine"
abus,9,"fraudes, inconveniens, contraventions, inconvénient, desordres, inconvenient, edits, arrets, reglemens"
abuser,5,"user, exercer, prévaloir, employer, acquerir"
abusé,3,"refusé, conservé, profité"
abîme,5,"astre, orage, affreux, oracle, nuage"
académie,6,"bibliothèque, l'academie, edition, bibliotheque, assemblée, traduction"
accablé,4,"saisi, affligé, tombé, touché"
accepta,17,"promit, accorda, remercia, consentit, reçût, obtint, chargea, traita, remit, présenta, témoigna, apporta, reçut, déclara, renvoya, pria, proposa"
accepte,5,"accorde, tireur, mande, remet, achete"
accepter,10,"accorder, permettre, ceder, obtenir, payer, contraindre, restituer, demander, recevoir, paier"
accepté,21,"consenti, refusé, demandé, obtenu, approuvé, répondu, accordé, declaré, déclaré, promis, renvoyé, reçu, témoigné, prié, souhaité, déchargé, demandée, mandé, renoncé, offert, conclu"
acceptée,9,"payée, demandée, jugée, tirée, continuée, envoyée, signée, promise, remise"
accessible,24,"search, books, document, economics, google, whether, domain, university, primary, library, please, literature, monograph, difficult, book, kress, also, french, these, text, country, most, fonts, first"
accidens,10,"remedes, inconveniens, évenemens, animaux, maux, mouvemens, maladies, effets, desordres, commerces"
accident,13,"inconvénient, incident, inconvenient, orage, expédient, endroit, animal, éclaircissement, malheur, artifice, astre, oiseau, affront"
acclamations,10,"concerts, fêtes, cris, spectacles, divertissemens, trompettes, portes, prieres, joye, louanges"
accommodement,8,"expédient, éclaircissement, incident, affront, rappel, accord, hymen, empressement"
accommoder,11,"prévaloir, appliquer, apporter, permettre, mêler, informer, servir, charger, employer, s'accommoder, raccommoder"
accompagnent,5,"causent, suivent, arrivent, s'attachent, rencontrent"
accompagner,16,"avertir, conduire, mener, entrer, envoyer, joindre, assister, aborder, assembler, élire, loger, charger, visiter, passer, embarquer, appeller"
accompagné,11,"accompagnée, environné, vêtu, orné, ornée, habillé, conduisit, rencontra, suivi, retourné, nommé"
accompagnée,8,"accompagné, ornée, remplie, composée, couverte, touchée, affligée, achevée"
accompagnées,4,"délicates, mêlées, pleines, parfaites"
accompli,7,"créé, parfait, éternel, enterré, adam, descendu, puissant"
accomplir,9,"executer, priere, ordonner, publier, garder, suivre, adorer, approuver, presenter"
accomplis,13,"l'âge, quatorze, quarante, trente, scpt, soixante, majeur, quinze, valablement, seize, mineurs, vingt, tuteurs"
accord,7,"incident, etat, egard, instrument, consentement, accommodement, artifice"
accorda,18,"obtint, accorde, demandoit, écrivit, promit, permit, présenta, reçût, donna, marqua, déclara, donnoit, donnât, consentit, ordonna, renvoya, accorder, remit"
accorde,10,"accorda, envoye, accordez, donnât, accorder, donne, accordé, destine, donnera, rende"
accorder,11,"obtenir, demander, permettre, approuver, presenter, expédier, ordonner, donner, accorde, repondre, accorda"
accordez,11,"accordé, accorde, envoyez, supplians, susdits, accorda, payez, nommez, donnez, ordonnez, sauvez"
accords,11,"concerts, bergers, amants, souhaits, nymphes, soupirs, amans, chantons, coeurs, airs, cantiques"
accordé,16,"demandé, obtenu, promis, accordez, demandée, donnée, ordonné, refusé, consenti, répondu, approuvé, payé, donné, accorde, confirmé, accorda"
accordée,10,"donnée, demandée, accordé, accordez, envoyée, accorda, faite, promise, payée, accorde"
accordées,8,"obtenues, patentes, accordez, données, portées, jugées, établies, payées"
accourut,24,"courut, conduisit, mena, descendit, alla, s'arrêta, entra, entendit, marchoit, sortit, emporta, vint, rencontra, suivit, retira, jeta, présenta, frappa, cacha, quitta, s'avança, leva, poussa, ouvrit"
accoutumé,17,"voulu, tâché, manqué, laissé, commencé, résolu, refusé, commandé, prié, contenté, resolu, contraint, permis, défendu, offert, obligé, continué"
accoutumée,6,"passée, quelle, finie, ladite, ordinaire, contrevenu"
accroire,17,"tort, semblant, pendre, valoir, éclater, confidence, trembler, l'affront, remontrer, connoître, moquer, naître, compliment, oublier, allusion, entendre, imprimer"
accueil,13,"affront, compliment, augure, éclat, éclaircissement, personnage, orage, hymen, révérence, éloge, heur, équipage, portrait"
accuse,5,"s'imagine, pretend, accusé, condamne, prétend"
accuser,4,"souffrir, douter, appeller, étonner"
accusé,6,"condamné, maltraité, déclaré, convaincu, coupable, criminel"
aces,9,"comptables, déclarations, sergens, arrets, mandemens, decrets, notaires, edits, privileges"
achat,10,"l'achat, fret, troc, payement, achetées, remboursement, comptant, marchandises, prime, négociant"
achats,8,"l'achat, traites, marchas, dises, sucres, denrées, payemens, marchandises"
achete,12,"vend, paye, profite, denrées, gagne, vendu, acheter, possede, vendent, l'achat, envoye, tire"
acheter,18,"vendre, transporter, emprunter, paier, envoyer, charger, loger, querir, retirer, décharger, fournir, payer, apporter, achete, trafiquer, employer, acquerir, attraper"
acheté,26,"vendu, volé, emprunté, apporté, prêté, quitté, achetées, demandé, payé, amené, fourni, profité, coûté, gagné, vendues, oublié, compté, rencontré, répondu, vendue, conté, appris, obtenu, perdu, refusé, trouvé"
achetée,15,"acheté, vendu, vendue, volé, emprunté, apporté, prêté, payé, conté, payée, trouvée, demandée, amené, sauvé, offert"
achetées,16,"vendues, payées, l'achat, marchandises, vendus, marchas, dises, acheté, sucres, remises, troc, comptant, fret, achat, susdites, données"
acheva,20,"laissa, commença, pensa, quitta, tâcha, chargea, résolut, l'obligea, voulut, revint, perdit, chercha, alla, proposa, vint, alloit, fallut, venoit, pressa, contenta"
acheve,5,"veut, laisse, commence, empêche, brûle"
achever,7,"finir, préparer, sauver, commencer, travailler, continuer, employer"
achevez,11,"fuyez, partez, laissez, venez, vivez, retournez, attends, gardez, allez, demeurez, attendez"
achevé,18,"commencé, quitté, appris, entrepris, entendu, manqué, continué, goûté, amené, apris, écouté, perdu, mangé, prononcé, oublié, souhaité, consenti, travaillé"
achevée,8,"finie, continuée, venue, changée, passée, approuvée, demeurée, faite"
achille,4,"enée, jupiter, junon, neptune"
acquerir,11,"exercer, êrre, employer, obtenir, produire, étre, ctre, ceder, fournir, conserver, posseder"
acquiert,4,"contribue, donne, releve, possede"
acquis,11,"conservé, renoncé, obtenu, gagné, vendu, travaillé, donné, profité, fourni, acheté, apporté"
acquise,6,"acquis, demandée, donnée, conservé, porté, trouvée"
acquisition,12,"aion, dette, renonciation, obligation, clause, ation, donation, opération, convention, sommation, remise, portion"
acquitter,13,"prévaloir, paier, payer, servir, décharger, emprunter, fournir, employer, reparer, reporter, charger, payement, remboursement"
acquérir,9,"acquerir, donner, exercer, conserver, employer, élever, produire, fournir, obtenir"
acte,8,"exploit, signifié, huissier, prologue, scene, scène, hymen, tragedie"
