word,k5,k10,k20,k50,mean_K,variance_K
sinon,0.9864,0.9864,0.9864,0.9864,0.9864,0.000000
reflexion,0.9802,0.9802,0.9802,0.9802,0.9802,0.000000
pleinement,0.9740,0.9740,0.9740,0.9740,0.9740,0.000000
secher,0.9651,0.9764,0.9764,0.9764,0.9736,0.000024
apelle,0.9608,0.9608,0.9608,0.9608,0.9608,0.000000
aujourd,0.9552,0.9552,0.9552,0.9552,0.9552,0.000000
sor,0.9286,0.9286,0.9286,0.9286,0.9286,0.000000
toutefois,0.9254,0.9254,0.9254,0.9254,0.9254,0.000000
fonc,0.9133,0.9133,0.9133,0.9133,0.9133,0.000000
favorablement,0.9072,0.9072,0.9072,0.9072,0.9072,0.000000
gentils,0.9043,0.9043,0.9043,0.9043,0.9043,0.000000
falu,0.9011,0.9011,0.9011,0.9011,0.9011,0.000000
l'avenir,0.9004,0.9004,0.9004,0.9004,0.9004,0.000000
fiscal,0.8902,0.8902,0.8902,0.8902,0.8902,0.000000
veau,0.8706,0.8940,0.8940,0.8940,0.8882,0.000103
tâche,0.8862,0.8862,0.8862,0.8862,0.8862,0.000000
sup,0.8856,0.8856,0.8856,0.8856,0.8856,0.000000
caufe,0.8846,0.8846,0.8846,0.8846,0.8846,0.000000
king,0.8826,0.8826,0.8826,0.8826,0.8826,0.000000
d'aussi,0.8818,0.8818,0.8818,0.8818,0.8818,0.000000
barre,0.8805,0.8805,0.8805,0.8805,0.8805,0.000000
gent,0.8762,0.8762,0.8762,0.8762,0.8762,0.000000
victor,0.8762,0.8762,0.8762,0.8762,0.8762,0.000000
obli,0.8713,0.8767,0.8767,0.8767,0.8753,0.000005
naire,0.8742,0.8742,0.8742,0.8742,0.8742,0.000000
teur,0.8742,0.8742,0.8742,0.8742,0.8742,0.000000
apris,0.8697,0.8697,0.8697,0.8697,0.8697,0.000000
propos,0.7932,0.8932,0.8932,0.8932,0.8682,0.001876
surquoi,0.8664,0.8664,0.8664,0.8664,0.8664,0.000000
accessible,0.8655,0.8655,0.8655,0.8655,0.8655,0.000000
l'ef,0.8636,0.8636,0.8636,0.8636,0.8636,0.000000
thou,0.8622,0.8622,0.8622,0.8622,0.8622,0.000000
poli,0.8619,0.8619,0.8619,0.8619,0.8619,0.000000
l'experience,0.8619,0.8619,0.8619,0.8619,0.8619,0.000000
présents,0.8612,0.8612,0.8612,0.8612,0.8612,0.000000
sieurs,0.8580,0.8580,0.8580,0.8580,0.8580,0.000000
l'ordinaire,0.8561,0.8561,0.8561,0.8561,0.8561,0.000000
d'autorité,0.8527,0.8527,0.8527,0.8527,0.8527,0.000000
désormais,0.8518,0.8518,0.8518,0.8518,0.8518,0.000000
nat,0.8504,0.8504,0.8504,0.8504,0.8504,0.000000
prov,0.8502,0.8502,0.8502,0.8502,0.8502,0.000000
pous,0.8500,0.8500,0.8500,0.8500,0.8500,0.000000
tranquile,0.8460,0.8460,0.8460,0.8460,0.8460,0.000000
descartes,0.8425,0.8425,0.8425,0.8425,0.8425,0.000000
etranger,0.8417,0.8417,0.8417,0.8417,0.8417,0.000000
future,0.8412,0.8412,0.8412,0.8412,0.8412,0.000000
tacher,0.8410,0.8410,0.8410,0.8410,0.8410,0.000000
aujour,0.8399,0.8399,0.8399,0.8399,0.8399,0.000000
l'est,0.8398,0.8398,0.8398,0.8398,0.8398,0.000000
tremblement,0.8397,0.8397,0.8397,0.8397,0.8397,0.000000
auf,0.8377,0.8377,0.8377,0.8377,0.8377,0.000000
