word,drift_1789
apris,1.0280
fonc,1.0092
apelle,1.0040
secher,0.9859
sinon,0.9598
gentils,0.9507
reflexion,0.9441
lors,0.9390
l'avenir,0.9287
consequence,0.9207
fiscal,0.9166
tâche,0.9065
accessible,0.9060
falu,0.9032
toutefois,0.8991
pleinement,0.8972
manie,0.8970
thou,0.8937
etranger,0.8847
neurs,0.8805
d'âge,0.8793
nent,0.8736
autrement,0.8729
exempt,0.8706
n'importe,0.8691
contrefaits,0.8683
d'aussi,0.8673
caufe,0.8665
favorablement,0.8625
d'abord,0.8607
entiére,0.8556
l'ef,0.8539
teste,0.8534
sieurs,0.8533
victor,0.8529
sain,0.8528
d'autorité,0.8527
désormais,0.8491
teur,0.8489
hui,0.8455
nouvel,0.8450
vivante,0.8418
veau,0.8408
marque,0.8394
volontiers,0.8385
rens,0.8383
franche,0.8379
contrefaire,0.8358
fonts,0.8348
l'espace,0.8345
l'embarras,0.8320
sûrement,0.8311
marche,0.8292
future,0.8285
prov,0.8268
merlin,0.8264
leger,0.8261
gage,0.8245
gueux,0.8235
lent,0.8226
adroitement,0.8211
vilaine,0.8198
obli,0.8197
hors,0.8190
naturellement,0.8179
présents,0.8173
inévitable,0.8169
tacher,0.8160
nostre,0.8157
l'âge,0.8147
l'agrément,0.8146
désirer,0.8143
souverainement,0.8113
rence,0.8111
raisonnablement,0.8106
posseder,0.8092
paisiblement,0.8068
moindres,0.8060
jusqu'où,0.8058
reparer,0.8045
pouvoir,0.8044
détail,0.8042
tendante,0.8032
gran,0.8030
l'invention,0.8009
ardemment,0.8000
d'où,0.8000
frappant,0.7996
grotius,0.7968
forte,0.7968
exposé,0.7965
entieres,0.7964
incertain,0.7963
qu'a,0.7947
sclon,0.7943
délivrance,0.7935
critique,0.7935
correction,0.7934
rigoureux,0.7929
sor,0.7929
enée,0.7927
muni,0.7925
descartes,0.7917
prompt,0.7912
aiant,0.7909
partager,0.7901
nant,0.7887
l'ordinaire,0.7879
vies,0.7877
obligez,0.7869
chanoines,0.7868
qu'aux,0.7860
transport,0.7859
latitude,0.7835
continuels,0.7816
hauts,0.7810
mont,0.7804
gent,0.7804
confus,0.7803
sulpice,0.7800
soupçon,0.7798
veiller,0.7794
reux,0.7783
exprès,0.7774
songe,0.7774
oeuvre,0.7774
possession,0.7773
proprement,0.7773
conjuration,0.7771
poli,0.7755
requiert,0.7754
apparence,0.7745
parts,0.7745
surquoi,0.7744
c'en,0.7742
conti,0.7731
franchement,0.7724
d'homme,0.7720
guet,0.7713
barre,0.7709
propos,0.7707
porteurs,0.7705
dignement,0.7684
murmure,0.7683
présens,0.7682
quarts,0.7677
finance,0.7675
pavillon,0.7669
d'espace,0.7667
taire,0.7666
nombreuse,0.7658
miere,0.7645
enfuit,0.7634
souveraines,0.7628
l'experience,0.7623
bref,0.7621
permettons,0.7619
genie,0.7618
curiosité,0.7615
celt,0.7615
neutralité,0.7614
fabriquer,0.7597
aujour,0.7595
intimes,0.7595
ressort,0.7594
l'est,0.7592
