word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802,1700-1710→1789-1802_global
aa,0.4452,0.4307,0.3812,0.4083,0.4193,0.3884,0.4157,0.4080,0.3925,0.4949
ab,0.5511,0.5489,0.4616,0.5225,0.5230,0.5090,0.4888,0.4620,0.4646,0.5747
aban,0.3213,0.2963,0.2629,0.2368,0.2198,0.2417,0.2645,0.2239,0.2123,0.3570
abandon,0.5838,0.6428,0.5593,0.5043,0.3939,0.4692,0.4023,0.2928,0.2787,0.5471
abandonna,0.6376,0.6922,0.5433,0.5910,0.5794,0.4930,0.4706,0.5178,0.5107,0.5952
abandonne,0.3408,0.4165,0.4180,0.3189,0.2700,0.2297,0.1827,0.2097,0.2020,0.3163
abandonner,0.2308,0.2498,0.2064,0.1910,0.2120,0.1938,0.1846,0.1612,0.1858,0.2741
abandonnez,0.6850,0.7650,0.8612,0.7771,0.7416,0.5082,0.4198,0.4283,0.3994,0.4913
abandonné,0.4803,0.4461,0.4584,0.4618,0.5001,0.4906,0.4686,0.4770,0.5055,0.4774
abandonnée,0.3494,0.3691,0.3309,0.2350,0.2377,0.2449,0.1966,0.1883,0.1898,0.3470
abattre,0.6049,0.5357,0.5706,0.6215,0.5289,0.5778,0.5175,0.5023,0.5185,0.6016
abattu,0.6307,0.6003,0.6290,0.6079,0.6560,0.6814,0.6308,0.5815,0.5666,0.5328
abbaye,0.4624,0.4582,0.4177,0.5132,0.4961,0.4505,0.4299,0.3846,0.3426,0.3884
abbé,0.3766,0.4539,0.3847,0.4709,0.3858,0.4094,0.3980,0.3764,0.3529,0.3062
abeilles,0.4356,0.4302,0.4502,0.5059,0.5553,0.4443,0.3890,0.4217,0.4288,0.4426
abfence,0.3392,0.3340,0.2715,0.2607,0.3058,0.3589,0.3120,0.2699,0.3168,0.3835
able,0.5055,0.6191,0.4550,0.5362,0.4501,0.4569,0.4423,0.3739,0.3962,0.5468
aboli,0.3909,0.3564,0.3447,0.3670,0.3159,0.2352,0.2159,0.1940,0.2443,0.4372
abolir,0.4413,0.3999,0.3199,0.3801,0.3553,0.2957,0.1968,0.1931,0.2566,0.4016
abominable,0.7118,0.6948,0.7218,0.6758,0.6347,0.5493,0.5142,0.4909,0.5495,0.6398
abon,0.5238,0.4888,0.5060,0.5626,0.5895,0.6513,0.6181,0.6035,0.6074,0.6371
abondamment,0.6348,0.5351,0.7243,0.6097,0.5712,0.6303,0.5840,0.5306,0.5314,0.6360
abondance,0.4978,0.4827,0.5139,0.5095,0.4642,0.4149,0.4612,0.4188,0.4124,0.4879
abondant,0.4413,0.4264,0.5086,0.4819,0.4236,0.4552,0.4004,0.4069,0.3903,0.5052
abondante,0.4922,0.4307,0.4264,0.4120,0.5084,0.4367,0.4315,0.3972,0.4690,0.5368
abondantes,0.4349,0.3876,0.4748,0.4571,0.4088,0.4782,0.4584,0.4497,0.4303,0.5055
abonde,0.6502,0.6027,0.5718,0.6386,0.5484,0.5536,0.6134,0.5800,0.6294,0.6544
abord,0.3896,0.3984,0.4733,0.4441,0.4738,0.4058,0.3655,0.3065,0.4475,0.5721
aborder,0.5013,0.4762,0.4548,0.3999,0.4368,0.4614,0.4541,0.3862,0.4550,0.3946
about,0.5098,0.4473,0.4969,0.3622,0.3558,0.3189,0.3842,0.4566,0.5838,0.4693
abraham,0.5540,0.6680,0.6059,0.5711,0.4240,0.4723,0.3723,0.3812,0.4990,0.4487
abrégé,0.5900,0.5804,0.5019,0.5832,0.5124,0.5131,0.5414,0.4847,0.5321,0.5700
absence,0.4843,0.5169,0.4321,0.4498,0.3910,0.4995,0.5289,0.4998,0.4855,0.5454
absent,0.5435,0.6824,0.6378,0.5350,0.5363,0.5347,0.5307,0.5608,0.5571,0.5076
absolu,0.3360,0.3121,0.2886,0.3142,0.2992,0.2276,0.2784,0.2812,0.2589,0.4222
absolue,0.3371,0.2897,0.3219,0.2928,0.2742,0.2816,0.2928,0.2467,0.2690,0.4532
absolument,0.2666,0.3101,0.3064,0.3286,0.2965,0.2191,0.1963,0.1525,0.2081,0.3171
abus,0.4429,0.3455,0.3786,0.4507,0.3890,0.3671,0.4027,0.4778,0.4704,0.5145
abuse,0.3600,0.3095,0.3252,0.3327,0.3039,0.2600,0.2361,0.2096,0.2735,0.5289
abuser,0.3097,0.3350,0.2906,0.2501,0.2431,0.2124,0.1966,0.1783,0.1774,0.3121
abusé,0.4110,0.3351,0.3076,0.2707,0.2467,0.1901,0.1728,0.1640,0.1693,0.4242
abîme,0.5889,0.5225,0.5055,0.5081,0.4347,0.4784,0.5073,0.4743,0.5084,0.5008
ac,0.4505,0.4479,0.4544,0.5004,0.5504,0.6191,0.5210,0.4509,0.4134,0.4155
académie,0.4834,0.5399,0.4800,0.4841,0.3895,0.3930,0.4063,0.5009,0.4474,0.4459
acc,0.3265,0.4322,0.6877,0.7746,0.6282,0.4337,0.4306,0.3740,0.2991,0.3735
accabler,0.4420,0.4286,0.3823,0.3164,0.3376,0.3217,0.2445,0.2406,0.2858,0.3865
accablé,0.2459,0.2296,0.2131,0.2036,0.2397,0.2134,0.1919,0.1603,0.1968,0.2821
accepta,0.7170,0.6402,0.4818,0.5129,0.5470,0.5401,0.5489,0.5123,0.5322,0.6138
accepte,0.4601,0.5134,0.5054,0.3836,0.3516,0.3523,0.3657,0.3202,0.3079,0.4624
accepter,0.5261,0.6103,0.5519,0.5231,0.4839,0.5038,0.5381,0.4406,0.5132,0.5484
accepté,0.4192,0.4787,0.4693,0.3863,0.3546,0.3979,0.4250,0.3672,0.3514,0.3961
acceptée,0.5302,0.5668,0.4947,0.4286,0.4468,0.4771,0.5020,0.4451,0.4558,0.4922
accessible,0.5681,0.5257,0.7544,0.8455,0.7830,0.7728,0.7933,0.7896,0.9060,0.8062
accidens,0.4154,0.3997,0.3614,0.4024,0.4194,0.3458,0.3924,0.4831,0.3829,0.4216
accident,0.4651,0.3808,0.3544,0.3949,0.4009,0.3759,0.3859,0.3566,0.3839,0.4618
acclamations,0.6026,0.5650,0.4930,0.5141,0.4582,0.4880,0.5345,0.4843,0.4781,0.5032
accom,0.7403,0.6017,0.5745,0.4885,0.7087,0.5742,0.5092,0.4678,0.4164,0.5970
accommodement,0.6237,0.5049,0.4675,0.4574,0.5242,0.6262,0.5497,0.5870,0.5552,0.4967
accommoder,0.5563,0.6252,0.5676,0.6787,0.6898,0.6649,0.6778,0.6170,0.6579,0.6826
accompagne,0.4543,0.4901,0.5489,0.3979,0.4332,0.3080,0.3068,0.2870,0.2732,0.4882
accompagnent,0.5717,0.5818,0.4771,0.4955,0.4579,0.4117,0.4542,0.4577,0.4443,0.5129
accompagner,0.5722,0.5839,0.5123,0.4975,0.5113,0.4835,0.4603,0.5120,0.4826,0.5035
accompagné,0.4207,0.5181,0.4158,0.4492,0.5044,0.3880,0.3610,0.4137,0.4337,0.4661
accompagnée,0.4725,0.4256,0.5340,0.5487,0.5450,0.5455,0.5107,0.5146,0.5030,0.5404
accompagnées,0.3318,0.3378,0.3141,0.2444,0.2635,0.2368,0.2287,0.2090,0.2665,0.3321
accompli,0.5994,0.5974,0.6478,0.6053,0.6184,0.6082,0.6290,0.6054,0.5965,0.6043
accomplir,0.4762,0.3904,0.3642,0.4346,0.4980,0.3338,0.2866,0.2941,0.3212,0.4635
accomplis,0.6118,0.6843,0.7860,0.6997,0.6270,0.7059,0.6886,0.7300,0.7161,0.7028
accord,0.5992,0.5419,0.5062,0.5545,0.6785,0.6585,0.6501,0.5883,0.5543,0.6559
accorda,0.4034,0.4399,0.3793,0.3565,0.3811,0.3748,0.3664,0.3129,0.3789,0.4261
accordant,0.6982,0.3090,0.3129,0.2650,0.2339,0.2103,0.1801,0.1755,0.1470,0.6337
accorde,0.3218,0.3340,0.3186,0.2986,0.3280,0.3129,0.3203,0.2813,0.2956,0.3160
accorder,0.4177,0.4223,0.3813,0.3573,0.3443,0.3351,0.2658,0.3498,0.3131,0.3258
accordez,0.2860,0.2662,0.2919,0.3189,0.3369,0.2506,0.2329,0.2257,0.2581,0.4385
accords,0.4075,0.4307,0.4335,0.4292,0.2945,0.2898,0.3009,0.2958,0.3493,0.3822
accordé,0.4558,0.4257,0.3764,0.4145,0.4111,0.3906,0.3255,0.3683,0.3629,0.4237
accordée,0.3352,0.3272,0.2993,0.2525,0.3015,0.3177,0.3507,0.3627,0.3239,0.3398
accordées,0.3994,0.3967,0.4487,0.3768,0.4201,0.4853,0.4732,0.4839,0.5211,0.5410
accourut,0.5342,0.5667,0.5506,0.5170,0.4854,0.4133,0.4811,0.4330,0.3855,0.4317
accoutumé,0.5584,0.5677,0.5495,0.6036,0.6284,0.6477,0.7225,0.6489,0.6972,0.6992
accoutumée,0.3545,0.3457,0.4027,0.3762,0.2600,0.2681,0.3756,0.2837,0.3291,0.5235
accoutumés,0.4314,0.4754,0.3668,0.2478,0.2554,0.2351,0.2253,0.2022,0.2294,0.4823
accroire,0.5189,0.4437,0.4222,0.3960,0.4829,0.4635,0.4746,0.4825,0.4563,0.4634
accueil,0.5604,0.6053,0.5116,0.4418,0.4941,0.5313,0.4576,0.4528,0.5041,0.4944
accuse,0.3575,0.4127,0.3424,0.3104,0.2535,0.2102,0.2159,0.1875,0.1982,0.2907
accuser,0.3917,0.3247,0.3315,0.2325,0.2065,0.1858,0.1811,0.1784,0.1730,0.3570
accusé,0.4406,0.4574,0.4594,0.4489,0.4646,0.5028,0.4683,0.4761,0.4985,0.4996
accès,0.3513,0.4188,0.3847,0.3296,0.3026,0.2484,0.2221,0.2407,0.2899,0.4823
ace,0.5051,0.6096,0.4430,0.4564,0.3346,0.3161,0.2754,0.2797,0.2842,0.4659
aces,0.5236,0.4576,0.5216,0.4284,0.5014,0.5499,0.4213,0.4392,0.4609,0.5537
achat,0.3648,0.3748,0.4360,0.3373,0.3223,0.2795,0.2581,0.2645,0.2648,0.3578
achats,0.4592,0.5389,0.4874,0.5166,0.4288,0.3571,0.4038,0.3671,0.3958,0.3711
ache,0.6584,0.7138,0.5636,0.5102,0.4531,0.4473,0.4167,0.4755,0.4820,0.6228
acheta,0.3295,0.3032,0.3387,0.3878,0.3663,0.2903,0.2630,0.1965,0.2085,0.2891
achete,0.3963,0.3856,0.4842,0.4393,0.4442,0.4064,0.3632,0.4109,0.4702,0.4701
acheter,0.3574,0.3775,0.3748,0.3560,0.3183,0.3039,0.2961,0.2929,0.2923,0.3658
acheté,0.3142,0.2809,0.2822,0.2597,0.2927,0.2978,0.2830,0.2746,0.2945,0.3009
achetée,0.3332,0.3943,0.4179,0.4257,0.4255,0.4094,0.4224,0.4034,0.3310,0.3533
achetées,0.4405,0.5003,0.4358,0.4277,0.3985,0.3299,0.3345,0.3127,0.3131,0.3414
acheva,0.5030,0.4379,0.5004,0.5106,0.4880,0.5389,0.4984,0.5128,0.4792,0.5472
acheve,0.7873,0.7149,0.7682,0.6442,0.8168,0.7922,0.5863,0.6747,0.6704,0.7985
achever,0.4854,0.5391,0.6080,0.5879,0.6016,0.6289,0.6462,0.5461,0.5603,0.4968
achevez,0.6940,0.8327,0.6531,0.5017,0.5028,0.5019,0.5000,0.6348,0.5526,0.5593
achevé,0.5833,0.6184,0.6494,0.5954,0.5244,0.5414,0.5102,0.4612,0.5288,0.5372
achevée,0.5329,0.4196,0.4498,0.4480,0.4403,0.4059,0.3709,0.3430,0.3555,0.4568
achille,0.4590,0.6310,0.4427,0.4251,0.3870,0.3616,0.3433,0.3318,0.3781,0.4051
acquerir,0.5062,0.5548,0.5090,0.5238,0.4894,0.5892,0.5455,0.6080,0.7566,0.5732
acquiert,0.4000,0.4056,0.3617,0.3190,0.2880,0.2736,0.1658,0.1848,0.1994,0.3148
acquis,0.5760,0.4921,0.5216,0.6202,0.4930,0.5101,0.4696,0.4877,0.4563,0.4748
acquise,0.2995,0.2718,0.2754,0.2793,0.2665,0.2503,0.2201,0.1888,0.2053,0.3515
acquisition,0.3109,0.3828,0.3190,0.3303,0.2934,0.2912,0.2551,0.2174,0.2488,0.3219
acquit,0.4642,0.4765,0.4748,0.4602,0.4244,0.3597,0.3634,0.3062,0.2853,0.4110
acquitter,0.5503,0.5855,0.5839,0.5559,0.5621,0.4786,0.4668,0.3961,0.3391,0.4904
acquérir,0.5044,0.4932,0.4100,0.3723,0.2955,0.2996,0.3147,0.3657,0.4082,0.5143
acre,0.4884,0.5053,0.4983,0.4945,0.4374,0.2718,0.2956,0.3546,0.3214,0.5863
acres,0.4444,0.7176,0.6675,0.6442,0.4020,0.3534,0.3016,0.2463,0.2897,0.4987
act,0.5955,0.4530,0.7236,0.6336,0.3778,0.3666,0.4206,0.4134,0.5894,0.4830
acte,0.5697,0.5814,0.5052,0.4600,0.5704,0.5509,0.5830,0.5414,0.5693,0.6147
actes,0.5432,0.5607,0.6214,0.7007,0.6237,0.7093,0.7611,0.7885,0.6993,0.4842
acteurs,0.4119,0.4869,0.4694,0.4720,0.4374,0.4643,0.3940,0.4178,0.3829,0.4789
action,0.5183,0.5851,0.4965,0.4240,0.4501,0.4074,0.4181,0.3873,0.3864,0.4348
actions,0.4468,0.4622,0.4323,0.3750,0.3260,0.3637,0.3112,0.3131,0.3852,0.4250
actuelle,0.5444,0.5646,0.5768,0.5211,0.3858,0.3317,0.3239,0.3261,0.3069,0.7420
actuellement,0.5215,0.4670,0.4707,0.4061,0.4180,0.3623,0.3587,0.2478,0.3021,0.5844
ad,0.4996,0.3949,0.4501,0.4226,0.5049,0.3578,0.4204,0.4018,0.3826,0.3879
adam,0.6828,0.7283,0.7368,0.7011,0.6993,0.6023,0.6127,0.7013,0.6441,0.6003
addition,0.5199,0.5568,0.5546,0.6001,0.6563,0.6006,0.5732,0.5494,0.5553,0.5095
additions,0.4173,0.3626,0.2695,0.2795,0.2898,0.3296,0.2709,0.3731,0.4311,0.3315
ade,0.6239,0.4712,0.3790,0.4843,0.3383,0.3067,0.3193,0.3111,0.3433,0.4648
ades,0.4422,0.3864,0.4809,0.5335,0.3945,0.3624,0.4102,0.3319,0.3639,0.6028
adhuc,0.1705,0.1941,0.2366,0.2023,0.1711,0.1589,0.2337,0.2430,0.1773,0.2310
adi,0.4843,0.4211,0.4318,0.3956,0.4564,0.6322,0.5978,0.4699,0.5890,0.5239
adieu,0.4967,0.6376,0.6257,0.5108,0.5967,0.6059,0.5702,0.5877,0.6386,0.5247
adion,0.5271,0.3647,0.3615,0.3768,0.3811,0.3244,0.3214,0.2740,0.3307,0.5342
adjudication,0.4753,0.3937,0.5139,0.4637,0.4799,0.4904,0.4508,0.4048,0.4864,0.5195
