word,drift_global,drift_moyen
linon,0.9802,0.6117
teste,0.9557,0.5505
tâche,0.9545,0.7203
l'avenir,0.9414,0.8818
miere,0.9412,0.8030
reflexion,0.9389,0.6525
merlin,0.9310,0.6526
traitre,0.9267,0.5964
teur,0.9241,0.8077
strabon,0.9215,0.3470
jurez,0.9186,0.4237
celer,0.9111,0.6945
pensant,0.9090,0.7815
sinon,0.9053,0.7395
curion,0.9049,0.6157
notice,0.9043,0.4957
l'experience,0.9035,0.7516
sor,0.9023,0.7003
apelle,0.9020,0.5209
jule,0.9004,0.5654
toutefois,0.8988,0.7848
falu,0.8960,0.6834
mesme,0.8921,0.6048
tendante,0.8904,0.6751
l'ef,0.8887,0.8262
traitez,0.8870,0.3343
d'aussi,0.8838,0.8181
l'est,0.8832,0.7637
fonc,0.8808,0.7448
filon,0.8799,0.5947
rem,0.8786,0.5865
roger,0.8781,0.5593
pleinement,0.8777,0.5981
reposée,0.8762,0.5864
moy,0.8681,0.4475
partagez,0.8646,0.3273
vide,0.8613,0.4826
titube,0.8612,0.5431
confulter,0.8592,0.7129
d'autorité,0.8589,0.7480
vides,0.8581,0.3586
victor,0.8567,0.4617
favorablement,0.8557,0.8042
alliez,0.8548,0.3884
secher,0.8542,0.7456
fiscal,0.8538,0.5964
lors,0.8502,0.8513
fement,0.8496,0.6552
sieurs,0.8492,0.7856
exempt,0.8491,0.7619
amé,0.8483,0.2814
sup,0.8474,0.5607
ras,0.8450,0.5422
passi,0.8449,0.5101
derechef,0.8428,0.7100
peller,0.8421,0.4984
ciens,0.8394,0.7342
l'inégalité,0.8369,0.7417
primer,0.8365,0.5274
obli,0.8351,0.7428
merveille,0.8342,0.6896
chés,0.8327,0.4868
dominant,0.8315,0.5283
c'en,0.8315,0.7177
rens,0.8305,0.7687
quité,0.8301,0.6971
pluton,0.8278,0.4892
restez,0.8273,0.3691
remontrer,0.8264,0.4310
qualite,0.8261,0.4239
correction,0.8257,0.6128
ôc,0.8255,0.7322
amene,0.8251,0.4498
quoy,0.8205,0.5261
gent,0.8201,0.7728
d'oeuvre,0.8199,0.4477
remarquez,0.8198,0.7020
vivante,0.8196,0.7682
adroitement,0.8181,0.7784
raire,0.8172,0.6512
lens,0.8159,0.5694
rentre,0.8148,0.7447
marchez,0.8144,0.3850
desormais,0.8142,0.6820
neurs,0.8140,0.7659
jusqu'où,0.8139,0.7765
l'enceinte,0.8130,0.6615
nant,0.8129,0.7704
franche,0.8127,0.7036
quelqu'une,0.8121,0.7941
unanime,0.8121,0.7293
veau,0.8118,0.7173
gage,0.8112,0.7825
ny,0.8102,0.4745
recom,0.8096,0.5468
caron,0.8092,0.6695
commune,0.8086,0.7229
volontiers,0.8077,0.8166
reparer,0.8077,0.7058
hui,0.8070,0.6929
convention,0.8070,0.4477
naire,0.8069,0.6673
veu,0.8069,0.5024
