word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802,1700-1710→1789-1802_global
aa,0.6778,0.6230,0.5714,0.5361,0.6238,0.5655,0.5866,0.6484,0.5634,0.6679
ab,0.7212,0.6307,0.5606,0.6714,0.6477,0.5731,0.6661,0.6913,0.6745,0.7232
aban,0.5231,0.5400,0.5498,0.5035,0.5901,0.4691,0.6002,0.4984,0.5166,0.6699
abandon,0.6513,0.7038,0.5935,0.5027,0.4150,0.4571,0.4904,0.3679,0.3917,0.6275
abandonna,0.6341,0.5803,0.4914,0.5815,0.4927,0.4882,0.5566,0.5540,0.5214,0.6107
abandonne,0.4293,0.4511,0.5063,0.4414,0.4086,0.3282,0.3328,0.3413,0.3611,0.4522
abandonner,0.3456,0.3882,0.3463,0.3296,0.3460,0.3136,0.3069,0.2524,0.3367,0.4244
abandonnez,0.6812,0.8198,0.7748,0.7340,0.7757,0.5196,0.4315,0.4144,0.4109,0.4913
abandonné,0.4786,0.5199,0.4290,0.4535,0.4658,0.4542,0.4630,0.4696,0.4928,0.4316
abandonnée,0.4045,0.4072,0.5316,0.4459,0.3657,0.3778,0.3876,0.3774,0.3930,0.5000
abattre,0.5883,0.5670,0.5951,0.6079,0.6685,0.5293,0.4960,0.5394,0.5399,0.5947
abattu,0.6544,0.6312,0.6457,0.6674,0.6082,0.6292,0.6013,0.5010,0.6038,0.5241
abbaye,0.4288,0.4632,0.5041,0.5562,0.4291,0.4521,0.3825,0.3843,0.3957,0.4007
abbé,0.3783,0.4419,0.3890,0.3958,0.4071,0.4445,0.3605,0.4150,0.3612,0.3259
abeilles,0.4404,0.4518,0.5180,0.5504,0.5071,0.4611,0.4241,0.4090,0.4630,0.4416
abfence,0.3627,0.3035,0.2837,0.2941,0.3147,0.3374,0.2865,0.2823,0.3318,0.3753
able,0.5711,0.6116,0.5570,0.6360,0.5368,0.4913,0.5559,0.5439,0.5569,0.6512
aboli,0.5172,0.4727,0.4285,0.4571,0.4746,0.3656,0.3732,0.3194,0.3509,0.5249
abolir,0.4937,0.5119,0.4668,0.5133,0.4822,0.4313,0.3656,0.3795,0.4022,0.5054
abominable,0.7118,0.7803,0.7060,0.6566,0.6324,0.5493,0.5099,0.4425,0.5495,0.6398
abon,0.5172,0.4883,0.5071,0.5473,0.6516,0.5834,0.5702,0.6985,0.6486,0.5928
abondamment,0.6891,0.5243,0.6609,0.5778,0.5682,0.6888,0.5935,0.5643,0.5631,0.6061
abondance,0.4978,0.4827,0.5450,0.5288,0.4552,0.4728,0.4774,0.4188,0.4124,0.4879
abondant,0.4637,0.3781,0.4999,0.5044,0.4253,0.4334,0.4222,0.3998,0.4406,0.5666
abondante,0.4834,0.4516,0.4501,0.4910,0.4463,0.4430,0.4454,0.3895,0.4883,0.5204
abondantes,0.4388,0.3667,0.4453,0.4556,0.3858,0.5350,0.4584,0.4767,0.4189,0.4838
abonde,0.5895,0.6461,0.6432,0.6897,0.5478,0.5216,0.5399,0.5081,0.6033,0.6569
abord,0.5032,0.4505,0.5426,0.6069,0.6315,0.5901,0.4886,0.4866,0.6011,0.7548
aborder,0.4772,0.4344,0.4510,0.3993,0.4689,0.4680,0.3904,0.3690,0.4124,0.4356
about,0.4775,0.3955,0.4381,0.3507,0.3516,0.3081,0.3351,0.4111,0.6067,0.4508
abraham,0.5469,0.6839,0.6286,0.5643,0.4862,0.3962,0.3217,0.4482,0.4389,0.4465
abrégé,0.5818,0.5579,0.5004,0.6127,0.5020,0.5180,0.5930,0.4236,0.5587,0.6253
absence,0.4600,0.4854,0.4890,0.4065,0.4671,0.5038,0.4462,0.4792,0.4914,0.5218
absent,0.5762,0.6780,0.6665,0.5877,0.5587,0.5677,0.5405,0.5310,0.5188,0.5631
absolu,0.5180,0.5116,0.5186,0.5334,0.5202,0.4848,0.4870,0.4743,0.5358,0.6315
