rank,word,drift_global,drift_moyen
1,sor,1.0546,0.8131
2,linon,1.0240,0.6941
3,notice,1.0171,0.5716
4,raire,1.0078,0.7425
5,titube,1.0061,0.6715
6,strabon,1.0005,0.4656
7,bac,0.9936,0.6203
8,sup,0.9870,0.7272
9,dominant,0.9836,0.6313
10,déli,0.9827,0.7265
11,ras,0.9811,0.6302
12,curion,0.9734,0.6775
13,jule,0.9701,0.6212
14,hui,0.9674,0.7658
15,apelle,0.9670,0.5306
16,cons,0.9649,0.7312
17,naire,0.9603,0.7795
18,rement,0.9596,0.7311
19,fement,0.9535,0.7441
20,filon,0.9518,0.6766
21,toutefois,0.9508,0.7603
22,ôc,0.9505,0.8313
23,phe,0.9501,0.7080
24,vide,0.9479,0.5929
25,traitre,0.9466,0.6717
26,miere,0.9412,0.8209
27,contrit,0.9408,0.6926
28,auf,0.9401,0.7275
29,rem,0.9398,0.6976
30,manie,0.9391,0.7947
31,pen,0.9326,0.7649
32,recom,0.9325,0.6929
33,ruement,0.9304,0.7124
34,l'intrigue,0.9298,0.6062
35,sas,0.9291,0.7048
36,dubois,0.9276,0.6354
37,jurez,0.9270,0.5071
38,cepen,0.9266,0.7877
39,veu,0.9217,0.5797
40,secher,0.9215,0.7400
41,derechef,0.9205,0.7619
42,nat,0.9202,0.6476
43,pref,0.9196,0.7641
44,remontrer,0.9187,0.5290
45,surquoi,0.9185,0.7823
46,ré,0.9159,0.7197
47,favorablement,0.9139,0.7917
48,desormais,0.9119,0.7313
49,leger,0.9099,0.6514
50,celer,0.9098,0.7145
51,d'oeuvre,0.9094,0.6869
52,quité,0.9069,0.7800
53,tement,0.9048,0.6900
54,vides,0.9039,0.4684
55,l'es,0.9030,0.6951
56,roger,0.9023,0.5884
57,pro,0.9000,0.7096
58,l'ef,0.8996,0.8388
59,reflexion,0.8994,0.6551
60,traitez,0.8986,0.4298
61,conr,0.8975,0.6427
62,peller,0.8947,0.6112
63,pluton,0.8945,0.6059
64,reur,0.8944,0.7132
65,amé,0.8934,0.4630
66,marchez,0.8924,0.4920
67,tendante,0.8904,0.6790
68,plui,0.8902,0.7267
69,d'aussi,0.8896,0.8352
70,enco,0.8895,0.7463
71,l'occupation,0.8875,0.6426
72,chés,0.8875,0.5817
73,pof,0.8873,0.6178
74,mu,0.8871,0.7191
75,aus,0.8849,0.6695
76,pous,0.8839,0.8750
77,l'est,0.8832,0.7610
78,caron,0.8821,0.7462
79,princi,0.8820,0.7302
80,qu'encore,0.8798,0.7185
81,lement,0.8797,0.6635
82,moy,0.8792,0.5635
83,coutre,0.8790,0.6895
84,qualite,0.8783,0.5102
85,pleinement,0.8777,0.6246
86,l'ob,0.8777,0.7676
87,plane,0.8767,0.4899
88,pairement,0.8765,0.7255
89,sem,0.8755,0.7146
90,l'obéissance,0.8748,0.5526
91,para,0.8742,0.6992
92,repré,0.8740,0.7067
93,propos,0.8737,0.7450
94,prou,0.8735,0.7309
95,milord,0.8733,0.5863
96,meur,0.8727,0.6450
97,fondit,0.8726,0.6066
98,atten,0.8722,0.6165
99,bale,0.8722,0.6237
100,rité,0.8717,0.6784
101,sé,0.8717,0.7450
102,l'avenir,0.8710,0.8387
103,fidellement,0.8707,0.6753
104,nmme,0.8704,0.7112
105,rufien,0.8699,0.6417
106,satis,0.8697,0.4749
107,tran,0.8695,0.7148
108,vé,0.8695,0.6928
109,def,0.8684,0.7013
