word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802,global,moyen
philosophe,0.3504,0.4090,0.3844,0.3805,0.3897,0.3823,0.3390,0.3095,0.3582,0.4125,0.3670
raison,0.4126,0.4407,0.3942,0.4359,0.3611,0.3769,0.3563,0.3086,0.3764,0.5110,0.3847
nature,0.5279,0.5249,0.4288,0.4703,0.4412,0.4183,0.4447,0.4981,0.4673,0.4502,0.4691
vertu,0.6744,0.6619,0.5876,0.5459,0.5955,0.6366,0.5630,0.5995,0.6231,0.5979,0.6097
lumiere,0.3837,0.3843,0.4476,0.3993,0.3692,0.3317,0.2764,0.2522,0.2944,0.3728,0.3487
liberte,0.6012,0.5429,0.6298,0.6593,0.4769,0.5001,0.5809,0.5601,0.6557,0.7952,0.5786
religion,0.4672,0.5665,0.5423,0.5700,0.4672,0.4516,0.3920,0.4549,0.4616,0.4475,0.4859
roi,0.3578,0.3814,0.3464,0.3184,0.3118,0.2485,0.2362,0.2545,0.3017,0.4650,0.3063
peuple,0.5754,0.6376,0.6081,0.6734,0.7264,0.6222,0.6559,0.5864,0.6475,0.6962,0.6370
nation,0.6319,0.5669,0.6815,0.5247,0.5524,0.6475,0.6160,0.5486,0.5936,0.6600,0.5959
citoyen,0.6402,0.6152,0.6107,0.6278,0.6630,0.6607,0.6221,0.5940,0.6147,0.6469,0.6276
constitution,0.5018,0.5526,0.4058,0.4414,0.4186,0.3974,0.3868,0.3367,0.4428,0.5863,0.4315
patrie,0.3681,0.3798,0.3960,0.3957,0.4057,0.3895,0.3148,0.3460,0.3580,0.4988,0.3726
dieu,0.4045,0.4218,0.4456,0.4099,0.3563,0.4014,0.3349,0.3370,0.3201,0.3250,0.3813
homme,0.4826,0.4171,0.5204,0.4656,0.5338,0.4528,0.4104,0.3399,0.4210,0.4852,0.4493
loi,0.3482,0.3374,0.2988,0.3401,0.3527,0.3121,0.2946,0.2817,0.3159,0.4691,0.3202
gouvernement,0.4263,0.4125,0.4593,0.3835,0.3821,0.3674,0.4273,0.3068,0.3107,0.6235,0.3862
tyran,0.5195,0.4892,0.4945,0.4602,0.4417,0.4346,0.4437,0.6053,0.4870,0.4289,0.4862
souverain,0.7575,0.6624,0.6472,0.6573,0.6132,0.6447,0.5599,0.5409,0.5360,0.6748,0.6243
republique,0.1628,0.2286,0.2281,0.2281,0.2315,0.2255,0.2183,0.2202,0.2995,0.2623,0.2270
