rank,word,drift_1789,drift_moyen
1,sinon,0.9864,0.7857
2,reflexion,0.9802,0.6551
3,secher,0.9764,0.7359
4,pleinement,0.9740,0.6246
5,apelle,0.9608,0.5306
6,aujourd,0.9552,0.8208
7,sor,0.9286,0.8131
8,toutefois,0.9254,0.7603
9,fonc,0.9133,0.7494
10,favorablement,0.9072,0.7917
11,gentils,0.9043,0.7404
12,falu,0.9011,0.7171
13,l'avenir,0.9004,0.8387
14,veau,0.8940,0.7299
15,propos,0.8932,0.7826
16,fiscal,0.8902,0.6125
17,tâche,0.8862,0.6878
18,sup,0.8856,0.7272
19,caufe,0.8846,0.6053
20,king,0.8826,0.6299
21,d'aussi,0.8818,0.8352
22,barre,0.8805,0.6257
23,obli,0.8767,0.7448
24,gent,0.8762,0.7661
25,victor,0.8762,0.5479
26,teur,0.8742,0.8128
27,naire,0.8742,0.7795
28,apris,0.8697,0.5351
29,surquoi,0.8664,0.7823
30,accessible,0.8655,0.7410
31,l'ef,0.8636,0.8388
32,thou,0.8622,0.5627
33,l'experience,0.8619,0.7885
34,poli,0.8619,0.6883
35,présents,0.8612,0.6663
36,sieurs,0.8580,0.7891
37,l'ordinaire,0.8561,0.8095
38,d'autorité,0.8527,0.7641
39,désormais,0.8518,0.6893
40,nat,0.8504,0.6476
41,prov,0.8502,0.6596
42,pous,0.8500,0.8750
43,tranquile,0.8460,0.5544
44,descartes,0.8425,0.6551
45,etranger,0.8417,0.6696
46,future,0.8412,0.7768
47,tacher,0.8410,0.7701
48,aujour,0.8399,0.8157
49,l'est,0.8398,0.7610
50,tremblement,0.8397,0.7112
51,auf,0.8377,0.7275
52,neurs,0.8354,0.7850
53,frappant,0.8337,0.6773
54,hui,0.8335,0.7658
55,l'ob,0.8334,0.7676
56,lors,0.8333,0.8379
57,d'espace,0.8328,0.6904
58,soupçon,0.8325,0.7172
59,paisiblement,0.8317,0.5429
60,vivante,0.8312,0.7864
61,xlix,0.8310,0.7440
62,subitement,0.8300,0.7027
63,hors,0.8285,0.7741
64,vilaine,0.8278,0.6847
65,vj,0.8278,0.7285
66,présens,0.8261,0.6818
67,qu'autrement,0.8254,0.7075
68,volontiers,0.8241,0.7945
69,pau,0.8225,0.7721
70,vieux,0.8211,0.7796
71,leger,0.8209,0.6514
72,oire,0.8202,0.6114
73,leux,0.8199,0.7842
