rank,word_global,drift_global,word_1789,drift_1789
1,linon,0.9802,apris,1.0280
2,teste,0.9557,fonc,1.0092
3,tâche,0.9545,apelle,1.0040
4,l'avenir,0.9414,secher,0.9859
5,miere,0.9412,sinon,0.9598
6,reflexion,0.9389,gentils,0.9507
7,merlin,0.9310,reflexion,0.9441
8,traitre,0.9267,lors,0.9390
9,teur,0.9241,l'avenir,0.9287
10,strabon,0.9215,consequence,0.9207
11,jurez,0.9186,fiscal,0.9166
12,celer,0.9111,tâche,0.9065
13,pensant,0.9090,accessible,0.9060
14,sinon,0.9053,falu,0.9032
15,curion,0.9049,toutefois,0.8991
16,notice,0.9043,pleinement,0.8972
17,l'experience,0.9035,manie,0.8970
18,sor,0.9023,thou,0.8937
19,apelle,0.9020,etranger,0.8847
20,jule,0.9004,neurs,0.8805
21,toutefois,0.8988,d'âge,0.8793
22,falu,0.8960,nent,0.8736
23,mesme,0.8921,autrement,0.8729
24,tendante,0.8904,exempt,0.8706
25,l'ef,0.8887,n'importe,0.8691
26,traitez,0.8870,contrefaits,0.8683
27,d'aussi,0.8838,d'aussi,0.8673
28,l'est,0.8832,caufe,0.8665
29,fonc,0.8808,favorablement,0.8625
30,filon,0.8799,d'abord,0.8607
31,rem,0.8786,entiére,0.8556
32,roger,0.8781,l'ef,0.8539
33,pleinement,0.8777,teste,0.8534
34,reposée,0.8762,sieurs,0.8533
35,moy,0.8681,victor,0.8529
36,partagez,0.8646,sain,0.8528
37,vide,0.8613,d'autorité,0.8527
38,titube,0.8612,désormais,0.8491
39,confulter,0.8592,teur,0.8489
40,d'autorité,0.8589,hui,0.8455
41,vides,0.8581,nouvel,0.8450
42,victor,0.8567,vivante,0.8418
43,favorablement,0.8557,veau,0.8408
44,alliez,0.8548,marque,0.8394
45,secher,0.8542,volontiers,0.8385
46,fiscal,0.8538,rens,0.8383
47,lors,0.8502,franche,0.8379
48,fement,0.8496,contrefaire,0.8358
49,sieurs,0.8492,fonts,0.8348
50,exempt,0.8491,l'espace,0.8345
